source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been in this for four hours.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	with a thoughtful eye and a purge of the fainthearted.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't want to be in a relationship with you.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	the father shouted.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	dragged the paper to your bench
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	the lower part of the second column, which is likely to be lost forever.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I made an awful mistake.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	Clyde's actually had a heartbreak.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	he asked, his voice rough with intelligence.
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I got up and quickly back again.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	So everything and everything just went back the way it was.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I raised a strange figure over my head and pointed down.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	but the loss of a sum of money becomes almost immaterial
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I've been counting for it so many times
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I'm miserable because I live a long life.
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the hand made him jump so badly that he dropped the egg, and dropped it right in his pocket.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	It's what this engineer is doing.
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	He's got all my time and all my time to listen.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I just have to see this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	I think you're doing well.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	But Sirek was out of his reach.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I've lost all my hopes.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	He's alive or dead.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	Because he had hit a little with that.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	I thought with all my might that I had made a notebook for that year.
په دهۊنمه واز نکردم	I kept my mouth shut.	I haven't seen it.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	We're still going to have to deal with it.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I understood that it was simply a matter of my own opinion.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	so now you know, and leave me alone.
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	But no one had the courage to do it.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	Or do we tell the captain what happened to him?
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	He kept it there until he found himself.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	It was a while earlier than that day.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	which was a busy end.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry I tricked you.
مجالشه که دی بکشی کنار	it's time for you to step aside.	when you'll have a moment to sit while I'll see.
ز ته سیم امکانس نی	as I could not possibly have done	It's not possible for me to do this.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	I don't think that's what caused him.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when he realized that he had actually been swindled
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	And the garment he gave me commanded to be unpaid.
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	clothing himself with an unofficial veil.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	locked the room door.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I remembered that he had lost his time.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	but I'm saying it's not fair for me to think of it.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	Suddenly, he pulled it all out of his mouth.
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	His hair was now whitewashed.
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	which we have to do a great amount of hard work.
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	But he had struck the whale with such a heavy baton.
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	Because it's not easy for him to make up his mind to walk in the past.
ز حالس ناراضی نبی	her mind had no distaste for her own set	He wasn't dissatisfied.
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	everybody was asleep.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	but now it all came together, and the earth and all time were running up.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	But the prince kept her out of his reach.
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	Because the blood had dried off her hair in a paroxysm of fear.
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	whereof I shall make in my future classes classes.
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I got rid of my priestly habit, and dropped the egg, and pretty soon died.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	I was still with him on the staircase.
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	It's all green and green within three minutes of each other.
