source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I've been counting.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I've got to get my feet up on the left and right!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I push my hair back off my face.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I'm not interested in the Ziegzag or the Quadrangle.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	I'm Van the monster who lives somewhere.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	in the middle of the road, a chariot was broken and kept for a while to be repaired.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	mules were hitched, their heads bowed against the cold misty rain
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	when my arms flung above my head
مي سرأ بشادم	I shook my head.	I turned my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	but now it all came to a head.
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	His whip held his hand tight.
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I held my right hand tight to let the fever go on.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	You said hello again.
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I'm not telling you that I'm not bisexual, either!
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought he might have something important to say to her.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I didn't want to forget about you.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	with a wand sticking out of the pocket.
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	But it's not easy.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	It's not a papa's hatred.
چۊن ناخؤش بؤ.	because she had been ill	Why didn't you say that I encouraged him?
خؤ عازمأ جزمأ کۊده	for he had made up his mind	He's going to love me.
مزایأ سرأ گیفتن	the racers started.	I've a mind to take the watch back.
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	So he beat the dance song with his foot.
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	They gave the event an entertainment aspect.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	the poetry quilted on their head.
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	The steel rope that tied the girl to the arrow tape.
روٚقد نأرمۊ	I am out of spirits.	I don't believe in it.
هني بنماست کي کي واخاب نيه ایتأ گل اۊیأ ايسأ	to avoid betraying that he knew she was about.	began to take on anexpression such as they had never worn before.
شيمي اطلاعات نيشان دیهه کي خؤرم ٚ زأک ؤ ذات ٚ خۊش بۊ	if it had been favourable to the boy.	I don't know if I feel like a darling.
