source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I've been doing this for four hours.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	Then he pulled down the stake and kicked it.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I'm not willing to face it altogether.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	He tried to get the old lady up.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	He pulled the paper from the bottom of the table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	It's possible that this girl's dress is in a good mood.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	gave it to me on a constitution in a common way.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	it was indeed a prodigious leap.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	she drowned in her fear and fear, and flew into the water.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I know it's hard,'I said.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	I'm telling you the story as best I can.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I've been thinking about my own happiness for a long time.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	I don't think it's a very good candidate.
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	But it was a lot of stress.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I've been unhappy in the past.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but while he held his hand and his sabers to his lips he pulled down his arms and then made a heavy blow to his waist.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	afterwards into what was to be the more delicate a sort of personal devotion.
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	she got her way from the annual poll.
مشۆم خانمەکؽ وینو	I must see the lady.	you must go, missy.
ئاﮆ پسە کەسێ یارمەتیدەر دیار بؽ پەیت	he struck you as being pretty handy.	He'd been looking for someone to help him.
بەڵام دوور سڵامەت بؽ جە دەسش	but it was safe out of his reach.	but I was afraid of him.
من گرد وەهمەکؽ جە دەس داینؽ	I have lost all my illusions.	I've lost the match.
ئؽسە گرد بؽدەنگؽنؽ خاوەنەکؽشا یا مەردؽنؽ یا ڕەماینؽ	all of them silent now, their owners dead or fled.	They're saying the owner of the property is dead or gone.
فرەش نەبەرد بە هەمان شؽوە بە فراوانی کریاوە	it soon stood wide open also.	it did not strike him so.
ناکایێنە و بە دڵ سەردی زانام ئینە دماین ساڵەو منەنە	I knew with sudden, chilling certainty that this was my last year.	I was determined that this was my last year, and that I had a mind to take it.
دەمم وستەبیرە	I kept my mouth shut.	I shut my mouth.
ئیمە هیشتای ئینایمؽ چا یاگؽنە کە چەنەش بؽنمؽ	we're still where we were.	I'm going to have to deal with it.
یەکسەر زانام ئی کرؽڵە پەی چیشیا	I knew immediately what this key was to	I knew immediately what it was.
پەوکای تاوی جەحەنەمەکەی دوور وزیۆو من تەنیا جیا بازی	so you can get the hell away from here and leave me alone.	I was spared the humiliation.
بەڵام کەس نەیارؽ دەسش وەردۆنە	but nobody dared to interfere.	But no one could get her by the hand.
یان دانشا سەرەیش	or knocked on the head	that he had a mind to permit his own desire.
چاگە تا نزیکەو شەوی مەنۆ	there he remained till nearly nightfall	He kept me near it.
پسە ئانەی کە ڕوێ بەزارێ تەوەنی زلەش بیەبۆ	as though it had once been a large stone pigpen	After a few days in a row,
کە پەی ئاﮆی بە ئؽش و قورس بؽ	that was painful and difficult for him.	which was hard for him.
داواو عەفوؽ کەرو کە تۆم دلؽ یاگەکینە ئاردی بەرۆ	I'm sorry I've dragged you out of bed.	I beseech you to let me bring the boat into my purse.
کاتو ئانەینە کە وازباری	it's time for you to step aside.	when the young man opened it
کە نەتاوام کەروش	as I could not possibly have done	But I couldn't do it.
گومان نیا چانەینە کە ئینە بؽ بە هۆو ئانەی کۆتایێ تراژیدیش ب	I have no doubt that it led to his tragic end.	There was no doubt that this was the cause of his suffering.
کاتێ پۆکەرەکەش کەیس و دزەکانە دەسکەوت	when he got the poker in case of burglars	when the pack saddle went to the the theft.
ڕەفیقە خزمەتکارەکەم فەرمانش بە سۆرێل ناگی کەرد	ordered the sorrel nag, my fellow servant	My crew's commander ordered me not to go.
کە هەرگیز جە سڵامی فەرمی زیاتەر نەلاینؽ	that they had never gone further than formal greetings	which never yielded more than an official greeting.
بەڵام بتڵەکؽ یاگؽ وؽشانە بؽنؽ	but the bolts were in place.	But the balls were still on the floor.
وەشحاڵەنا کە گؽڵایۆ پەی کاتو وؽش	I'm glad she got back in time.	happy in the sense that he had now the leisure to think of her.
بەڵام گرد و تاوانەکەی وزو ملو وؽم	but I take all the blame upon myself	but the crime was altogether as he had done.
بە خؽرای تەماشەو دووریش کەرد	looked quickly away.	He looked at it with a thoughtful eye.
دارستانەکە ئؽسە جیاتی سیاوی خۆڵەمێشی بؽ	the forest was gray now instead of black.	the woods had changed so much that they grew grey and grey.
کە ئیمەش وستیمؽ تەمەلی	which disposed us to sloth	that we were standing there in a whisper
کە وەربهێنانش کەردەن نەهەنگەکەنە بە تیۆری سروشتی	that so much invested the whale with natural terror	that his recollection took him into his whale's whale.
