source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	I've been up for four hours.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	And he stood in the midst of his saddle, and took hold of the saddle.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't want it over in this way.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	that if he did not get the bonnet from her
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	He held the paper to the side of a table.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	Maybe it's the same sweet girl who's standing in front of him.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	to whom I shall make such excuses that she will be led to approve of my delay
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	So that he's really focused.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I held it up slowly and vigorously.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but with all the evidences and explanations of the story,
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I have to put these thoughts in my bag and make them disappear.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	with a suspect backgrounds.
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	but I was too moved by it, and it irritated me.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I love life so much, and it's unhappy for you.
