source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I've been doing this for four hours.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	the public and the public were all dressed in trousers.
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I didn't expect it to happen to you.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	He tried to understand the old lady's voice.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	I was sitting at the bottom of the table for a while.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but that he had forgotten his goodness.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	gave me an order with a raspberry.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	the reality was still unheard of.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	he drank out of fear, and asked.
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	I walked slowly and gently.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but as it did, it all came to a head.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I've gone on with this one great poetry.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	even though the matter is peculiar to himself,
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	I'm sorry I tricked him.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love your brothers so much. They're miserable.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But as soon as his hands and feet grew cold and he leaned toward the front door, he pulled down a large number of his riders.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	a magnetic scene from which he had just parted.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He put his feet together and listened to his voice again.
من فقط ونه این زنا ره بوینم	I must see the lady.	I just have to see this woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	you think it's painful, too.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	But he wasn't holding her hand.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	all my hopes and aspirations were dashed to the wind.
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	They're either dead or they're running a fever.
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	But in a short time, this little girl was ready to get used to it.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I didn't realize that was my last year.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	I loved the latter one.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	But we're doing the right thing.
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	I understood internally that all this was going on.
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	Then you'll forget about it and leave me alone.
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	but no one dared to intrate.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	Or the captain's head is broken.
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	I've a mind to take the watch back.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	that the actual construction of which was a stone in some time
اینتا اتا دردناک و سخته کار بییه	that was painful and difficult for him.	It was a painful, painful event.
عذر خوامبه که ته ره لای جا بکشیمه دیا	I'm sorry I've dragged you out of bed.	I'm sorry I tricked you.
این گدر برسییه که تو کناره گیری هکنی	it's time for you to step aside.	It's like you're making a mess.
هچ را مه واسسه امکان ناشته	as I could not possibly have done	Because it wasn't possible for me.
شک نارمه که ونه بد بمردن باعث بییه	I have no doubt that it led to his tragic end.	I'm sure that it's the wrong thing that caused him to die.
اون گدر به این خیال که دز بییمو تَش کَله سخ ره بیته	when he got the poker in case of burglars	he gave him what must have been a very scratchy, whiskery thought about thievery.
کرند اسب ره ینه مه خدمتکار و مه هم قطار فرمون هدا	ordered the sorrel nag, my fellow servant	That's why the horse serves me and also directs me.
البته فقط ات تا رسمی سلام علک	that they had never gone further than formal greetings	Of course, only an official greeting.
خواسسه دله بوره در ره دله وری دوس بدییه	but the bolts were in place.	he loved the door fastened
من خشالمه که و خاره موقع دگرسسه	I'm glad she got back in time.	I'm glad he's back in time.
