source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I've been doing this for four hours.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	dressed in black and white.
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I don't like to lie
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	they had a mind to do a hunted cat, a hunted cat, a hunted cat, a hunted cat, a hunted cat.
کاغەزەگە گردەو کرد.	he picked up the paper.	He gathered the paper.
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	He may be willing to kneel for ever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I swear by the religion of the sects to which I have been ordained.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	Indeed, he had created his own heart.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	He asked in a mixed tone.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I raised my head from my knees.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	he would also have made ridiculous and harsh remarks about it.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I immediately put the thought in my head and opened it.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	it seemed to himthat everything that took place
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	but I'm very sorry about it.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I've loved it many times, and it's a good lesson.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but with a slip of the tongue, they only saw the expression of a gun in the band, which they folded a large number of knots.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	how worthy it would be for me to live in such a dark world.
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	as mutations in the annual competition
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I just have to see this lady.
وە باوەڕ ت، ئەو ئایەم لێهاتیێگە.	he struck you as being pretty handy.	He's going to hit you with a free pardon.
ئەمانێگ ئەو دۊر لە دەسڕەسێ ئەمنۊ.	but it was safe out of his reach.	But he kept her away from me.
گشت خەیاڵەیلم لە دەس دامە.	I have lost all my illusions.	I've lost all my dreams.
ئیسە گشتیان بێ دەنگ، خاوەنەگانیان یا مردێ یا دەرچێ.	all of them silent now, their owners dead or fled.	now silent, sleeping or dead.
وە زۊییش تمام واز بۊ.	it soon stood wide open also.	he had to get up early in the morning.
وە دڵنیاییێگ لەناکاو و ساردکەرەوە زانسم کە یە دۊا ساڵ منە.	I knew with sudden, chilling certainty that this was my last year.	with a sudden and chilly assurance that it was two years old.
دەمم بەسۊم.	I kept my mouth shut.	I've had enough of my own mouth.
ئیمە هێمان هایمنە ئەو جیە گ بۊمن.	we're still where we were.	We're still going to get to the place where we're going.
زۊ ڕەسیمەو ئێ کلیلە ئەڕا چەس.	I knew immediately what this key was to	I've a mind to take the phone off the hook.
سە تۊەنی لێرە دۊرەو بکەفی و تەنیام بیلی.	so you can get the hell away from here and leave me alone.	It was as if he could get far away from me and get a few seconds alone.
ئەمانێگ کەس نەوێریا دەسوەردان بکەێ.	but nobody dared to interfere.	But none of them dared to touch her.
یا دیا لە سەرێ.	or knocked on the head	From that point on.
لەورە تا نزیکەیل شەو مەن.	there he remained till nearly nightfall	He'll stay there until midnight.
چمانێ سەردەمانێگ یەێ وراز گەورای کوچگین بۊە.	as though it had once been a large stone pigpen	It was like a little surprise.
ئەوە ئڕا ئەو وەژان و قورس بۊ.	that was painful and difficult for him.	For he is so worn out that there is nothing left to eat of him.
بووەخشی لە تەخت خەو کیشامەدەو دەیشت.	I'm sorry I've dragged you out of bed.	I slept on the bed.
کات ئەوە هاتێیە بەیدەو لا.	it's time for you to step aside.	when she went away
هە ئەو جوورە گ نەتۊەنسم ئەنجام بەم.	as I could not possibly have done	In the same way I couldn't do it.
گومان نێرم گ ڕەسیە ئاخر تراژیک ئەو.	I have no doubt that it led to his tragic end.	I'm sure the race was at last.
کاتێ گ سیخەگە لە ئان هاتن دزەیل ئەڵگرت	when he got the poker in case of burglars	When he opened it, he kept it hidden in the bedroom.
فەرمان ئەسبەیل سوور دا، خزمەتکارەگەم.	ordered the sorrel nag, my fellow servant	gave the command to the red skeleton, my servant.
ئەوان قەت لە یەێ سڵام و کێخوەشی فەرمی فرەتر نەچۊن.	that they had never gone further than formal greetings	they had never received more than a morning greeting or an official inquiry.
ئەمانێگ پێچەگان لە شوون خوەیان بۊن.	but the bolts were in place.	but the pawns were left lying on their shoulder.
خوەشاڵم کە ئەو سەر وەخت هاتەو جی.	I'm glad she got back in time.	I'm glad he's here with you.
ئەمانێگ گشت تاوانەگە گرمەو مل خوەم.	but I take all the blame upon myself	but I have a positive dislike for you.
وە خێرایی نووڕیە دۊرەو.	looked quickly away.	He looked at it quickly.
دارسانەگە ئێرنگە لە جی ڕەش، خوڵەمژی بۊ.	the forest was gray now instead of black.	the woodpile that was in the place of my master
کە تەمەڵمان کرد.	which disposed us to sloth	which filled it.
کە ئێ نەهەنگە ئێقرە کردۊدە مایەی ڕخ سروشتی.	that so much invested the whale with natural terror	that this whale had so peevished in its natural existence
ئڕا ڕاکردن لە دەسێ، بڕیار دا لە وڵات نەوسێ.	in order to escape from her, he determined to quit the country	He decided to leave the country and not leave the country.
هۊرشەی ئەو هیچ قینێ لە دووخ خوەێ نێیاشت.	her mind had no distaste for her own set	the thought of which he did not bring a grudge against her
پابەن بۊن کاڵەو بۊ.	the obligation faded.	the skin of which was covered with a fine down.
هیچکات نەیمە وا لێوا بووەشیەێ.	I never see the wind blow so.	I've never been out of it before.
ئەمانێگ شازادەی پیر قسەگانێ بڕی.	but the old prince interrupted him.	But the old princess said something.
وە بوون یەێ ڕفت کاولکەرێ بۊە تێکشکیان.	turned into a rout because of a devastating downpour.	They were almost extinguished from the fact that they were performing or attracting each other's attention.
ئەڕای کڵاس مەدرەسەی بانان ڕێکێخست.	arranged it for the future schoolroom.	fixing on the school curate.
م یەێ مەلام و وەی مدووە تواێ لە سەرووی گومانەو بووم.	I am a priest and therefore I ought to be above suspicion	I'm a medical prisoner now, and I'm a suspect.
هێمان لە بان پلیکانەگان، شەش گام لەو خوارتر ئەڵاژیایە.	still lying on the staircase six steps below him.	Still, on the other side of the stairs, it's less than six feet.
