source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I've been here for four hours.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	Then he pulled down the stake and kicked it.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I don't want to end the story.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	I'd scrubbed it out to see the old lady's point.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	He picked up my bag on the side of a table.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	he might have a positive dislike for her.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	I too understand.
کلاید راس راسَکی اسیر با	so truly was he captivated.	his robes full of rusty old face
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	she asked, her voice rough with stress and fear.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I'm not going anywhere with colorful ideas right now.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but I can't, I suppose.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I thought about it when I first introduced it to my poetry.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I don't think that's a very good idea.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	But I've made a lot of mistakes.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I'm very glad I didn't get married. I'm very unhappy.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	But he leaned his head against the weight of a disapproval he had never known before, and cut his head out with a cannon ball.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	He's done his best to do this.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	His voice echoed in his ears.
