source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	nigh to the man who was apt to doze over the grave always ready dug to the seaman's hand
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My eyes were puzzled by the smell of foul sleep.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	So you don't have to worry about it.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	Now it's the fourth time that it's been handed down to them.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	as though she hadn't carried it through her imagination.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	He pulled it all out of his mouth.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	then, hastily concealed by the police, held him at a croupier's elbow.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	see if any of you have begun to learn to spell.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	to whom I shall make such excuses that she will be led to approve of my delay
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	He turned around and went to the shelf.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	it is not wise, at any rate this moist season.
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	My country was at peace with my country.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	He wanted to turn back.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	in the middle of the road, a chariot was broken and kept for a while to be repaired.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	in a fascinating but decorous d'shabill'.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	that he would not forgive her his disgrace.
Ez koma her dîyan a.	I am in both groups	I've got to get out of this place
Her çî wextê ey esto.	Everything has its time	all those hours in school.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	You have no idea what you're doing.
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	then lowered, and lowered for the charge.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	as though she hadn't stayed in her own room before.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	the skin of which is covered with a fine down.
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	somehow it all came together as a nearly perfect friendship
