source	reference	translation
چوار سات وەی حاڵەو ئەو سەر بردم.	I was four hours under these circumstances	I took him down for four hours, and he was in the state of his health.
شەۊ و شواڵ چوارخانە لە وەر	in plaid frock and trousers.	He stayed there for four nights.
نیەیلم هە لێوا بنێ باێ	I won't let it end like this.	I didn't think about it.
تەقەلا ئەڕای ئەوڕەسین لە مەبەست کەیوانوو	trying to grasp the old lady's meaning	but it was with the intention of persuading him.
کاغەزەگە گردەو کرد.	he picked up the paper.	He tore the paper apart.
هاتێ تواسۊد ئەڕا هەمیشە خوەێ بخنکنێ.	she might be required to sink herself forever.	you may have heard of it and admired it forever.
وە قەسەم و قورئان نا ملم.	he ordered me in with an oath	I swear by it.
هە وە ڕاسی، ئەو دیل کریاۊد.	so truly was he captivated.	That's right, she did it.
وە دەنگێ زبر لە سترس و ڕخ پرسیار کرد.	she asked, her voice rough with stress and fear.	asked in a voice of stress and rage.
وە ئارامی خوەم لە بان وێرزنگەیلمەو بەرزەو کردم.	I raised myself gently upon my knees	I took it at ease with my free hand.
وەی حاڵەو کول دووخەیل دەور وەر لەو ساتە چمانێ لێوا نیشان دەن کە ئەو کارە کردیە.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	And with all his suspicions, he made signals of love for me from the moment he did it.
م زۊ ئێ هۊرە خسمە ناو سەرم و هەڵبەستەیلێگ وتم.	I immediately turned this thought over in my head, creating lyrics.	I put my fingers between her fingers and kissed her kiss.
فکر یە گ ئەوە مداڵ زێڕ ڕەقێ بۊە.	thinking that it was a medal of solid gold	it seems to himthat gold has been the gold standard.
ئەمانێگ م فرە داخم هات ئەڕایان.	but I felt so sorry for them	I'm so fond of her too.
م فرە ژیان دووس داشتم، جی شەرمەزارییە.	I've loved life too much, shamefully much.	I've been here a long time, and it's a shame.
ئەمانێگ وە گامڵەکیەو لە ناوێن بووسانەو خزیەن، و تەنیا وە تەقەی تفەنگ وە یەکەو کە فرەیێگ لە زینەگان چووڵەو کرد، هەبۊنیان ئاشکرا بۊ.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	only then, owing to the tremors of his legs, that he had reached the height of his unusual sanctity.
چۊ پیاێ کە هووکارە بۊەسە ئەوجوورە تەمرینەیل ژیمناستیک.	like a man accustomed to that kind of gymnastic exercise	what about the man who had committed his crimes against the mother?
گۊە تەکانن لە شوونپای ساڵەیل	listening to the echoing footsteps of years.	as if there were many people over there over the years.
م تەنیا تواێ ئێ خانمە بۊنم.	I must see the lady.	I'm just waiting for this lady.
