source	reference	translation
چار ساعَت هْنجورَه مَندیمَه.	I was four hours under these circumstances	I was there for four hours.
شطرنجییَه جْرقَه و شْوارْش دَرییا.	in plaid frock and trousers.	He put his hand between her fingers.
از نییَرزم‌‌ کو داستان عْنجورَه تمون آبو.	I won't let it end like this.	I'm not going anywhere with any weird stories.
خَیلی سَکْراتش کَردَه تا پیرَ یِنَکی منظوری بْفَمْه.	trying to grasp the old lady's meaning	she went into his office to look at the old fellow.
روزنومه میزی وَری کو پیگِتْشه.	he picked up the paper.	I sat down and asked her why she was there.
شایدا ام قشنگهَ کیلَه همیشَه را چْمه دس دِ بشو	she might be required to sink herself forever.	I'll make you promise, but first we'll get the dog to Lackett.
فَشینه من فْرمون دوشَه	he ordered me in with an oath	I put my voice down.
کلاید راس راسَکی اسیر با	so truly was he captivated.	his robes ripped
چه صدا استرس و ترس دره گریا. اَی دَفَرسَه	she asked, her voice rough with stress and fear.	his voice was filled with stress and fear.
یَواشینَه زونو نَه ایشتیمَه.	I raised myself gently upon my knees	I'm not going anywhere with any questions right now.
با اْمْ حال هَمَه یه مدارِکِن نشون دَن اَ گْناکارَه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	And they don't insist on re-appearing ignorant.
ایی دَفَعی اْم فیکرون چْمْ کله کو گاردْندْمَه اَی نَه شعر ساتْمَه	I immediately turned this thought over in my head, creating lyrics.	I remembered from my own perspective that there was nothing worse than singing.
ام فیکری نَه کو اَ میدال نابَ طیلا کو اِستَه	thinking that it was a medal of solid gold	I don t think he deserves this blessing.
وَلی خَیلی اَوون را تَسْف هَردْمَه.	but I felt so sorry for them	but I took it very carefully.
از زنْدْگی نَه وییَر خْشیمَه. بدبَختی هْمَه.	I've loved life too much, shamefully much.	I was relieved he wasn't there. I was relieved he wasn't there.
اما در حالیکو سینَه ویسنِه کرین و نیهالون مینی کو جلو آین و آخْرْنَه‌سَر اشتن تفنگون گولون ایله ویداشتشونَه و اْشْتَن صْفَت دوشونَه و بَدَز اَ ویداشته نی خَیلی از سربازن اسبون زینی سری کو جیر ویلَکینَه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but, as they stood, their deployed squadron rode at full trot downhill toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Shimon and finally toward Mary.
ژیمناستیک کاری شی کْ اْم کارینَه خوکَرد آبَه	like a man accustomed to that kind of gymnastic exercise	the gymnastics of what he was doing.
زمانی پا صْتا کْرا گوش آکَری	listening to the echoing footsteps of years.	attention disengaged, he necessarily began on the subject with her.
از فقط پی اْم یِنَکی بْوینْم.	I must see the lady.	I merely followed Yankees back.
اْشْتْه نظر دِرِه نی بدربخوره ادمیه ؟	he struck you as being pretty handy.	you do not think of that infernal harpooneer?
اما بْزبْزَه چِه دایرَه کو دور مَندا.	but it was safe out of his reach.	but his eyes went quietly around the circle.
چْمْه ناجِن همه بْ باد شینَه.	I have lost all my illusions.	I'm not going anywhere with any ideas right now.
چَوون صِیِبِن یا مَردَینا یا دَوَشتَینا.	all of them silent now, their owners dead or fled.	whether for his own pleasure or that of his mother would have been difficult to say
هْم زودیون اْم روکَه خْلْ ایلَه راهی شی آمادَه آبو کْ بِش و بِری بْکَرْن	it soon stood wide open also.	so that the whole thing will get a little more organized for the school as soon as possible.
ایی دَفَعی فَممَه کو اْم دِ چمه آخرنَه سالَه	I knew with sudden, chilling certainty that this was my last year.	This time it's the end of the year.
پس چْمْه دَنی دَوَسْمَه.	I kept my mouth shut.	I put my fingers between her fingers.
امه فلا هَه جایی مَندیمونَه کو پیشتَر مَندیمونا.	we're still where we were.	But we've got to get that somewhere, that way we'll get the dog to Lackett.
زوتَری فَمْمَه کو اْم کْلیل کاری شْنا.	I knew immediately what this key was to	so that he took the key.
پس ت ْ شای اْشتْه را بیگِری و بْشی و مْن تاکیلَه پس بَهَرزی.	so you can get the hell away from here and leave me alone.	Then send your witnesses to me, and to me, and to you, and to me, and to you.
ولی کسی نییاری کاری کو دخالت بْکَری.	but nobody dared to interfere.	but no one came to interfere with it.
یا عْمکو ناخْدا اشتن کله چاکْنْه	or knocked on the head	Or do you want to make an effort to defame your relationship with God?
آنسلم تا آفتاوی نْشتِه موقو ها مَندَه	there he remained till nearly nightfall	I made my pants and put them between her fingers.
چه اصلییَه ساختْمون سنگَه خواَ لونَه اِستا	as though it had once been a large stone pigpen	what was the chief exponent of the cult of Mademoiselle Dolphore and finally on the cult of Mademoiselle Dolphore and finally on the cult of Mademoiselle Dolphore and finally on the cult of Mademoiselle Dolphore and finally on the cult of Mademoiselle Dolphore and finally on the cult of Mademoiselle Dolphore and finally on the cult of Mademoiselle Dolphore and finally on the cult of Mademoiselle Dolphore and finally on the cult of Mademoiselle Dolphore and finally on the cult of Mademoiselle Dolphore and finally
ام دردناکَه سَختَه کاریا	that was painful and difficult for him.	I'm in a lot of painful work.
متاسْفیمَه لْکْلاکو تْه بَرونتْمَه بیرون.	I'm sorry I've dragged you out of bed.	I'm sorry this has happened.
چه وقت آرَسَه کو تْ کَنار بْکَشی	it's time for you to step aside.	When he reached the height of his unusual sanctity.
هیچ وقت مرا ایمکان نداری	as I could not possibly have done	I've never been able to do it before.
از شک ندارم کو چه مرگی باعث به	I have no doubt that it led to his tragic end.	I'm sure he'll make you feel ill.
ای دفه ای فیکری نه ک دز اومه و شومینه بسکی پیگتشه	when he got the poker in case of burglars	For once, it seemed to himthat he was a suspect in a robbery that night.
کورانه اسبی ک چم خدمتکار و همقطارا فرمون دوشه	ordered the sorrel nag, my fellow servant	who will build his future upon a firm foundation upon his firm foundation.
البته فقط ایله خشکَه سلام علک	that they had never gone further than formal greetings	Of course, it's just a dry mouth.
خواستشه درآ ویندشَه بر دله کو دوسیَه.	but the bolts were in place.	He put his fingers between her fingers.
آخا تا هَه روز چیزی صِحِب آبه نیا کو غرصه هرده ارزشی بداره	I'm glad she got back in time.	so that there was nothing worse than singing under the influence of her mother than singing under her mother's influence.
ولی مْرا چْه مونی ام بدبختی تمون چمه گردن دَلَکَه	but I take all the blame upon myself	but my cousin put on as sad a countenance as himself.
تْن تَری اْشْتَن چِمون اَی کو گاردْنْدْشَه	looked quickly away.	so profound was the sensation that
جنگل الان سییا کو آبَه رَش!	the forest was gray now instead of black.	The woods are already in the madhouse!
ام کار تمون اَمَه لَسَ شْل و پَلو آکَره	which disposed us to sloth	I've got all my faculties as well as ever I had before.
اْم والی تا هَدَه چی تَرسی را بانِه کَردَشا	that so much invested the whale with natural terror	That's what he wanted to do.
امی را کو دِ ِنخای شَوونَه کیله بْوینی تصمیمش گِتَه کو اْشتَت وطنی کو بْشو	in order to escape from her, he determined to quit the country	so that both his mother and father decided that it was time for him to get up and stand a little further.
اصلا اشتن وضعی کو ناراضی نییا	her mind had no distaste for her own set	he's not feeling anything about it at all.
کلایدی اْشتَن قایلی ویر بَرشَه	the obligation faded.	he put his hand between her fingers.
وا نی اَمون نِدوعَه و دو و دوشابی یَندی دوشَه	I never see the wind blow so.	for there was not a hint of love, but there was another hint of love.
اما شازادَه اَی کو نار دَبَه	but the old prince interrupted him.	but the princess was not quite at home.
تندَ رگی خونِ ایدَفَعی آپَرکییَه	turned into a rout because of a devastating downpour.	the blood flow is an optical illusion.
ها چیمی سَرَفا دَپَرچین آپَرچین کَردمَه که چمه درزَه کلَاس بْبو.	arranged it for the future schoolroom.	I made my pants carefully and put them in the drawer.
از کشیشیمه و پی هرچی بدگْمونی کو برزیمه بْبوم	I am a priest and therefore I ought to be above suspicion	I took good care of the chaplain and everything in the way.
هَلا هری نَه شیش گْلَه پیلَه فاصیلَه داری	still lying on the staircase six steps below him.	but there was no longer any old-fashioned firmness in his speech.
سه دَقَه تمون اسبی حرکتی زْت آبا دییِسی	watched the horse's action for the space of three minutes	for three minutes, they stopped the movement of the horse.
ولی فْکْر کَردْمَه غم و غْرصَه چیزییَه کو هر کسی دس دَه	but I thought grief was something you felt anyway.	but because it seemed to himthat there was something between him and everyone else.
پیلَکونی کو پِرشَه تا راهرو کو آرَسَه به بَری	went up the staircase to a door in a corridor.	he followed the pilot to the stairs without.
هر چن کْ هده زحمت مْزی نِداری	though with but small success for their pains.	so long as he doesn't try to fuck her up.
در نتیجَه وکیلی گِتشَه تا اَوون یَندی کو سیفا آکره.	but sent an intermediary to arrange the terms of the separation	As a result, he walked to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally to Shimon and finally.
چیمی بَه نار اْندَچی نِپیما کو تاو دَلَکیم.	for I have never had such need of haste before.	I'm not going anywhere with anything like this.
فْرمونی کو چِه شو اَی دوعَه	at the orders her husband left her	pray to be heard!
کنجکاوی و دَقَتینَه، عجیبَ زمینی ک بَلَکِما چه دایر و کناری دییِشتْمَه	look around me with some interest on the strange land that I was in.	I was curious and hesitated for a minute, but we had to get up early the next morning.
پِشتی نه سْنگَه کوئَه سری خْتَه	lay down on his back on the heap of stones.	He put his foot down and listened to the song.
قرار نییا هَنی اَی بْوینیم.	I was never supposed to see him again!	I wasn't going anywhere anymore.
انگار مجبورینا بَهَرزین اَع اشتَن لوعَه بکَره.	as if they were forced to let him say it.	as if he were bound for the house.
اْمَه کو از تْلیمَه شومَه کَه را.	that is why I hastened to you.	I'm running a fever from my mouth.
نِخام دِ ام موضوع بارَه لوعَه بْکَرْم	I don't wanta talk about it no more,	I'm not going anywhere with any questions right now.
پی تْ هشدار بدَم ام اتاقی کو نی پیللَه تَرَه.	I should warn youit's bigger than this room.	I've got to get out of this place!
اْشْتَرا و اْشتَن خْردون را دکتر گِتَشا	for herself and the children she employed a physician.	She went into his room and told Dr. Smith.
دا جایی کو بی موفق بِه پیله مقاماتون میزی آمادَه آکر	she did everything possible to keep the places at the table of honor in order	So that he succeeded in drawing the officers to the table.
اشتن ما نَسَ وجودی جبران بکر	a recompense to you for his mother!	that our existence would be jeopardized.
اسبی نْخْتَه پِکَردْشَه شَه رْواری را	spurred his horse and galloped into the river.	But he didn't think of of that at first.
من نی چْمْ چْپْع چْپْع ایدامَه دوعَه.	I still humming my little tune.	I did not positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively positively.
چن پَلَه یَخْش دَسمالی دِلَه دَکَردَه و چه سری پِنوشَه	ice cubes on her head	He put his foot down and listened to what he said.
دَکَشْشَه و اَی کو اْشتَن زوئَه عَسکی بَرونتِه را ایستْفادَه کردْشَه	she used it to push out her son's photograph.	she thought of it, and took advantage of it, to drive the troops away.
تْ اْشتْ وَر دِ فیکر کردا کو روکَه جنگی مْنَه بْکَریش	you reckoned on a bickering!	she said because it seemed to her that he was on the front lines.
دْلَه سونینَه ایلَه اتاق نی مْن آدَن.	I should be given a small room as a favor	They're not in the room anymore.
اسلَحَه و گوللَه کو بهتر آزونْم	than either a bullet or a knife.	I'd do better to get up and stand a little further away.
هر کس کْ ایی دَفَه شوهْرَتی طَمی چَشَش بْبو	once you've had that first taste	whoever was there, whoever was there, whoever was there, whoever was there, whoever was there, whoever was there, whoever was there.
یا سَی بْکَر اَ حال و هوا دیلَه کو یَکی دْ ساعتی بْخسْه	or trying to snatch an hour or so of sleep	Or do you think of that, and the weather's right over there for an hour?
مْرا چه مونی هیچ ایتفاقی دَلَکَه نییا.	just as if nothing had happened.	for there was nothing worse than singing under suffering.
ام کارینَه بیجَه تی چه پوس و خَلا پِزِرَه.	tearing both skin and clothes to some extent in the effort.	I've got to get out of this place and get the dog to Lackett.
چم سرنیویس اْمَه کو ام درازَه روزی جان بْدَم و سختی بْکَشْم	I shall have to toil and moil all my days	I had the intelligence from my mother for a long time, and there was a tremor in my life.
ایی آدمی دَس دَرییَه کو تازَه شروع کردَشَه و حاضْرَه مَلْکَموت چه جانی ویگِرْه ک تا دْوارَه بی عاری بْکَرْه	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	This young man has just begun to learn to spell and how.
بَد نی سَی کَردَشا بقیَه ناری بیگِره کو کیکی مَهَرن.	as earnestly tried to prevent any body's eating it.	If they hadn't been worried about what they had ahead of them.
تا وختی چَوون چِمی ایسبینَه بَرومَه نییَه از مشکلی نِدارْم	I'm not really in trouble until I see the whites of their eyes.	I'm not a problem till he walks into my house.
از اینتْظار نِداریم کو اشتَن بْبیم	I hadn't expected to be myself.	I can't wait to get out of this place!
هر چند کو هَش سال ویشتَه نِداری	for, although she was only eight years old	even though he was barely six years old.
پی اول ْببون چون کْ سْردْ ویشتر از ایی نفری بَرشِه را راه ِنداری	both of them could not be first, for the ladder would but admit one man at a time.	Firstly, because there's a lot of people over there who want to embrace it.
هیچی جز خاش ها نوعَه نییا	naught was there but bones.	there was nothing worse than singing under suffering.
میزی دایرو وَری دییِشتِه ایی کردمَه.	I look helplessly around the table.	I made my pants and put them over me.
زمونی کو ها کو سَخت آبَه.	not even the length of time he had been imprisoned	It's the old normal tense.
اَی دَکَشْشَه کَه را.	dragged him to the house.	she thought of that.
شومَه اولین نفری بَه کو ای کو خوَردار بَه.	you'll be the first to know.	I was the first to get up and stand a little further away.
شومَه نَه واتْمه اَز دِ کشیش نیمَه	I told you I ain't no preacher	I'm not going anywhere with any ideas right now.
فْک کَرم چْمْه مین نَه اَنگیشْتَه کو روکَه تِی دراز تَرا.	seemed to be somewhat longer than my middle finger.	I don t think he's going anywhere with a long-term relationship.
هَر چن کو هش سال ویشتَه سْن نداری	because he hopes to be forgiven	He's not going anywhere with any more ideas right now.
ناباوَرینَه چمه کَلَه ویللا دومَه.	I shook my head in disbelief.	I'm not going anywhere with any ideas right now.
اْم چییِن باعیث نِبون همَه چی ویرْم برشو و تْ بْبخشم	I still think you were hateful that night and I never expect to forgive you.	that there was nothing worse than singing under the influence of her.
چِه دیل جدوَلَه حلَه کری را تنگ آبا	he missed doing the crossword.	I've got a hunch that s the biggest threat in my life.
ها کو اَی چال کره تا چَوون سَس ویمِرْه	they'll bury him right there.	where a ferryman was waiting for him.
ولی شَکَرْش ویر برشا	but he had forgotten the sugar.	but she was afraid of him.
عمیقا دییَرَه فْکرونی کو ویژَنیا.	was deep in thoughts of something else	I've been through this a few years, you know, in my way.
کلا اْشتَن سری پِنوشَه و نْشتَه	put on the hat and sat down.	He put his pants together and put them in the drawer.
اَی اکسیژن پیشا.	he needed oxygen	That's before he was killed.
اََنی هَچی و اَلَکيیَه خرجی.	not by spending as he pleases	but there was nothing left to knock him down.
پارسال وَخْتی کْلا اْشْتَن سَری پِنوشَه.	when he'd placed the hat on his head a year before	He put his feet together last year.
شاید هْمْ زویی ايزْدْواج بْکَرْه	may even be about to marry her before he leaves here?	I'm saying he might hesitate to get up early.
دِه کسی نِشا چِه ناری گِتِه.	nobody seems to be able to stop her	but no one came to Shimon Nazar.
ایلَه ترانَه اهمیت، چِه کَلَمون دِلَه کو دِرییَه.	that the whole meaning of a song lies in the words	It's more of an honour to get her to Lackett.
از هیچوقت چْمْه زْندْگی کو هْنْدَه چی خْشال نیما	I've never been so happy in all my life	I've never really liked to hear about it before.
فیکر مَکَه کو تَنْخایی بو چِه وَری کو طاقت وَردِه.	don't you go fighting them alone.	because it seemed to her that the stress of her voice made her smile again.
چِه قَشَنگَه بال بَروما.	her beautifully moulded arms bare	we look up blearily.
اَگَه دْرور واتَه بْبو ایلَه خاصَه وَشتَن پی بْکَری.	if you are telling me a lie, I'll lead you a pretty dance.	If you leave him alone, you will not leave him alone.
چِِْه آخْر نی ظْلْماتا	his end was night.	but there was nothing worse than singing under suffering.
نِزیکا چِه قَلف ایست بْکَری	making her heart jump.	she's not going anywhere.
دِ اْنْتَه آدمی ایتْماد مَکَرْع	he would never trust a man like that again.	He put his hand between her fingers.
لْکلایی شی آبا کو چِه دِلَه کاغذ دِرییا.	which was, like all the rest, covered with papers.	his fingers ripped in the paper.
مِثیکْ آدمی پاصْدا آ.	I think I hear some one coming.	meticulously pursuing him.
از پینج سال پیرتر از اْمیمَه کْ اْشْتَن را دْرو بْوام و چِه نومی بْنَم شَرافَت	I'm five years too old to lie to myself and call it honor.	I was only about the age of five years old when she came in, and she didn't come in.
دْویس هَزار دلار مبلغی چْمْ وَری کو جَم آبا.	I must be holding two hundred thousand dollars in bets.	that there were two thousand dollars in the deal, and three thousand dollars in the deal.
چِه کفشَ سازی سيني و چِه ناتمومَ کار هْنْتَه اْشْتَن جا سَری پِرییا	his tray of shoemaking tools, and his old unfinished work, were all as usual.	he made his shoes and put his fingers between her fingers.
از دْز نیمَه ولی دْزی پی بْکْشْم.	I am not a thief, but I'll murder my thief.	I can't, but I must have stood pale.
اشتن صْدا یَواشینَه بْلَن آکَرْدْشَه	he addressed to him in a gentle voice	it smelled good to him that he had reached the height of his unusual sanctity.
حتما جایی سَفْم کَردَه	I must have done something wrong.	I've got to get somewhere.
هْنتَه دِه شادی و محیبَتَه اَسْرگ ویکَرْدْشَه.	shedding such tears of heartfelt joy	He put his foot down and kissed her cheek.
بعدا شاید چِه جاذْبَه ویشتَر نی آبو	then the attraction may be the greater.	I'll make you smile again, before you go.
هیچ سَفی نی چِه دِلَه مَبو.	without any mistakes in it!	there was nothing worse than singing under suffering.
اول دِرِه فیکر کَردْمَه کْ امْ سيیا مجسمه واقعیَ خْرْدَنَه و هْنْتَکی اَی دارْن	at first I al most thought that this black manikin was a real baby preserved in some similar manner.	at first I thought to myself, that she was a true lady, and that there was only a hint of love for her.
ایا آش پجه جیگایه	this is the kitchen	Could this be a common way to defame the party or create suspicion within it?
دیه پرچیه نشام	I've had enough of it	I put it just here.
خلک و کلنگشون اوعه برده به	they took the spade and the pick there.	took her out of the village and put her in the drawing room.
خوییم کشه و اچرم آدوعه هی	I sighed and gave her the key.	I'll kill myself, and I'll get back to bed.
بیجَه تِی اَی گِتَشَه.	feeling a little overcome.	If you leave him alone, you will not leave him alone.
کمَ تِی اْم گردْ خاک چْمْ سر نْشتَه و باعیث بَه چن دَفه سَفْر بوئَرم	some part whereof flying up to our faces set us both a sneezing for several times together.	He put his foot down, and leaned his head against the ground.
موهیمَه راه حلی کو پی هَتَه عمل بْبو	which is such that I have made it my law of action.	Let's get the way to the end of the tunnel.
کورَقو اْشتَن قبراسونییَه سَسی شی جواو دوئَه	an owl answered with his sepulchral note.	the secret of his grave lies in his grave.
اْمی ایی ایتْروم و ادبینه قْبولْش کرْدَه	who received him with great civility.	he took it at once, and put it into the drawer.
شوالیَه اشتن تموم زورینَه اَی دَکَشْشَه.	though he pulled with all his might	the fire had reached the height of his unusual sanctity.
ام بدبختی دِ واقیعا باور کرده نِبو	what incomprehensible misfortune	But he didn't really believe it.
اول اَی ایله دَسینَه بعد هر دْ گلَه دسینه گِتْشَه.	he took it first in one, them in both his own.	First we went into the legion, and then we went into the legion.
هَمَه پی بْشوعَه چِه دِلَه بْوینَه.	make sure yeh can see' now	so profound was the sensation that
انتَه بَه کْ آخرین َدَفه را سَکْرات کردْمَه کْ چه دوستی جلب بْکَرم	I was moved to make a last attempt to regain his friendship.	That's when I made my last promise.
نشا ا قراری کو پَری گینِه پیش یندینه نوعه شونا سَر حاضر ببو.	he would not be able to keep an engagement with her that night, for instance, that he had made a day or two before.	not having yet reached the height of his unusual sanctity.
غمناکه سکوتی دادگاه کو چیر آبا	while a painful silence reigned in the court room.	Unfortunately, the courthouse was evacuated.
ام دفه چه عَصاب تمون خْرد آبا	his nerves were terribly overstrained by now.	I was nervous once, you know, in my way.
اشتن ما نَه شو کلیسا و ناخَوَری ناخوشییَه حالی اَی دس دَ و نِشا کو ها بْمونْه	was at church with her mother, and suddenly overcome by indisposition, arising from her interesting condition, she could not remain standing,	we didn't want to go back to church, and there was nothing worse than singing under suffering.
اَ نی اْنْتَه کاری نَه کْ شوی هْم وقت، ام جادوگر و غولی نَه کو چه دایر و پَرَه کو َمندینا	besides this kind of thing's too awful, here this time of night with witches and ghosts	That there was nothing worse than singing under the influence of divinity than singing under the influence of divinity.
مرْا چه مونی ساعت یَک شَوا کو کوزتی ایله بْلَندَ قَهقَهَه مَسَه.	at one o'clock in the morning, possibly, she heard a loud burst of laughter	about the six o'clock, when the cauldron collapsed.
دادگاه رای اِلامی موقو چِه وَر مَندَه بْب و اْشتَن چی جزئیاتی روزنومَه را گزارش بدَه	on his day of sentence that she, his mother, would report the samefor him.	The courthouse was evacuated for the courthouse and the courthouse was evacuated for the schoolroom after paying for the school's education.
اْم اَگَه راس بْبو از یقین دارْم کو ام تیر کمونَه ویدار پی پْش بْبو	which if true I take to be good evidence that this harpooneer is stark mad	I'm sure you'll be glad to get out of this place.
سَبا دِ چْمْ تَکی مَندَه مَبو	or rather him who will no longer be my servant to morrow	I was there this morning.
امَا اشتَن دیل دِرِه هرگز اَی وَیلش آکَردَه نیا. دْرْس مث اْمکو اَ جوون واقیعا خوبَه زوعَه اییا	but in her heart she had never given him up, as though, indeed, he had been her son.	But there's nothing worse than singing under the influence of emotion than singing under the influence of emotion.
اْم موقی کو ناامیدینَه بْرَمو کردْمَه و اْشتَن ام دنیا کو یتیم و تَنخا ویندْمَه	I had already broken out into a desolate cry, and felt an orphan in the wide world.	I look up blearily, and I look up blearily.
ام تکلیفی یا کو حَیقَتی از حق نداریم و اَ حق داری کو قْبولْش نِکَردَه.	a proposition which I was wrong to suggest and he quite right to refuse	I'm not a critic of anyone, and you don't have the right to say that.
اشتن باعیث نیگرونیو و تَوشیشا	was a point of painful solicitude	He put his foot down and shut his hand.
شَه اْشتَن ایل و تباری پیگِره و آگَردْه	would bring the whole hornet's nest about our ears	she set off at a gallop, leaving him paralyzed on the road.
ایلَه مِخی کو دییاری کو گینا آرْیَندْشَه و دقتی نَه اَی تاوْندْشَه	he tied them to a nail in the wall, and carefully plaited them.	but he delayed his delay, and there was no time for him.
بلندَه روحی و میرَوونَه دْلی داره	able to understand her position and her sorrow.	she was tall and had a mind full of gourmandizing.
از پی کسی لوئون کْ چْمْه خوبی پیشَه تا آخْر گوش آکَرم	I want to hear and understand my benefactor's words.	I followed someone who made good progress in learning the language of the people to the end.
ایدَفَه هنی ایله ایسبییَه کاملیا گْلْش ویگِتَه	she received a white camellia again	so profound was the sensation that
ارلاندو کو خواسْتْشَه تا اَی ایفتْخار بْدَه و ناهاری یَندینَه بَهَرن.	asked her whether she would honour him by lunching with him?	Orlando, who was willing to come with him to honor him, and make dinner as long as possible.
هیچ ویندَه نیشا کو مِردَک ها کو دَوْیَردَه بْبو	had not seen the man pass.	which had never prospered either in his hands or in those of his mother
وقتی کو اْم اَویجَه جا دراومیمه	but as I was making my way among these crags,	when I'm running a fever.
کو اشتن عیلمو حدسون خَیلی عیتقاد داره.	who will certainly ruin himself in experiments	that there was a great deal of confidence in him.
چه خِسْرْگ اشتن وِیوی کو بدش آ	her mother in law detested her	who was laughing at her, who was there.
ویمَندَه و اشتن دایْرَه دییِشتْشَه	after stopping to look about her,	he stood and consulted with the doctor.
تا اَع موقی شومَه سییا خال کْتَه تِی نی ارزش نداره	in the meantime, your black spot ain't	not worthy of his station, even in the madhouse.
مردمی وَری آوروریزی سَرَفا باک داری	he was afraid of creating a scene in public.	he was full of vivacious conversation as we went along.
همی سَرَفا تمون گَوَنی آبا کو با امْکو اشْتَن بقییَه نه کاری نِداری بقیه تمون لَجینَه اَی گیر دوعَه‌شونا	he was angry that people should go on being interested in him when he took no interest in them.	so that both his mother and the mother could not, owing to the suspicions raised by the prayers of the rest of us.
اول چیمی سَرَفا کو اَ مُدیل خلا دکرده عادت کردشا	first because his personal taste would not allow him to dress in any other way	First, he tried to use it to defame the relationship between him and her mother.
