source	reference	translation
چوار ساعەتێ پی بارودۆخوە سەرم کەرڎەبێ	I was four hours under these circumstances	I've been here for four hours.
گجییە کوڵ و پاتۆڵێ شەترەنجیش کەردەبێنە	in plaid frock and trousers.	He's going to have to keep his mouth shut and his mouth shut.
من ئیزن نمەڎو کە ماجەرا پی جۆرە تەمام بۆ	I won't let it end like this.	I'm not afraid I'm going through something like this.
هەوڵش دا کە قەسدو خاتوونە پیرەکێ دەرک کەرۆ	trying to grasp the old lady's meaning	He tried to knock the old lady out.
ڕۆژنامەکەش جە لاو مێزەکەینە هۆرگێرت	he picked up the paper.	The paper is on the side of the table.
شایەد ئی کناچێ عالێ پەی هەمیشەی جە دەس بلۆ	she might be required to sink herself forever.	I've seen it all my life.
بە جمانیوە هەڕەشەیی دەستوورش دا پەنەم	he ordered me in with an oath	I'm afraid I'm not going anywhere.
بەڕاسی کڵاید ئەسیر بیەبێ	so truly was he captivated.	I'm sure you'll like it.
ساش جە ئسترس و تەرسینە وشک بیەبێ و گیریابێ. ئاو پەرساش	she asked, her voice rough with stress and fear.	he was afraid and trembled.
یەواش بە زۆرو زانویم هۆرستانی	I raised myself gently upon my knees	I'm very well aware of it.
پی حاڵە تەمام شواهێدی کە هەن جە جۆرمو ئاوی حکایەت مەکریۆ	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	I've seen enough evidence to prove that there's a lot of water in my pocket.
زوو ئی فکرامە جە زهنیم گێڵنایم و شعرم وەش کەرد	I immediately turned this thought over in my head, creating lyrics.	I've lost my mind about it, and I've lost my hair.
پی گومانە کە مداڵەکێ جە تڵایە ناب و عالی مۆنێ	thinking that it was a medal of solid gold	I'm not sure if it's a big deal.
بەڵام فرە پەیشا ناڕەحەت بیانی	but I felt so sorry for them	But he was very sad.
من زندگیم فرە وەش گەرەکەن. بۆبەختی ئینەنە.	I've loved life too much, shamefully much.	I've got a lot of things to do. It's my destiny.
بەڵام جە حاڵیە کە سەرو دەسا و زانویشاوە خزێنێ جە لێو گیاوەکانە لوێنێ وەروە بە تەقناو هەمزەمانو تفەنگەکاشا حوزورو وێشا ئێعلام کەرد و دماو تەقناو تفەنگی فرەیە جە سەروازەکا سەرو ئەسبەکەیشاوە کوتێرە واری.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but as soon as he put his arms and knees in the grass, he put his rifle to his knees, and put his rifle to his knees.
پسۆ ژیمناستیک کاریە کە پی کاریە عادەتش هەن	like a man accustomed to that kind of gymnastic exercise	It's a matter of biology, and it's a matter of life and death.
گۆش گیرتەی جە دەنگدانەوەو هەنگامەکا ساڵانی	listening to the echoing footsteps of years.	I've been watching the polls for years.
مشۆم خانمەکؽ وینو	I must see the lady.	I went to see the lady.
ئاﮆ پسە کەسێ یارمەتیدەر دیار بؽ پەیت	he struck you as being pretty handy.	He asked for help.
بەڵام دوور سڵامەت بؽ جە دەسش	but it was safe out of his reach.	But he's far away from it.
من گرد وەهمەکؽ جە دەس داینؽ	I have lost all my illusions.	I'm in the middle of a hill.
ئؽسە گرد بؽدەنگؽنؽ خاوەنەکؽشا یا مەردؽنؽ یا ڕەماینؽ	all of them silent now, their owners dead or fled.	I've seen it all my own way.
فرەش نەبەرد بە هەمان شؽوە بە فراوانی کریاوە	it soon stood wide open also.	I don't think he's done it all that night.
ناکایێنە و بە دڵ سەردی زانام ئینە دماین ساڵەو منەنە	I knew with sudden, chilling certainty that this was my last year.	I don't see it, and I don't know it for a long time.
دەمم وستەبیرە	I kept my mouth shut.	I shut my mouth.
ئیمە هیشتای ئینایمؽ چا یاگؽنە کە چەنەش بؽنمؽ	we're still where we were.	We're here to tell you what I'm going to do.
یەکسەر زانام ئی کرؽڵە پەی چیشیا	I knew immediately what this key was to	I knew immediately what he was doing.
پەوکای تاوی جەحەنەمەکەی دوور وزیۆو من تەنیا جیا بازی	so you can get the hell away from here and leave me alone.	I'm alone in the middle of nowhere.
بەڵام کەس نەیارؽ دەسش وەردۆنە	but nobody dared to interfere.	But no one was willing to let him go.
یان دانشا سەرەیش	or knocked on the head	Or put it on her head.
چاگە تا نزیکەو شەوی مەنۆ	there he remained till nearly nightfall	until the middle of the night.
پسە ئانەی کە ڕوێ بەزارێ تەوەنی زلەش بیەبۆ	as though it had once been a large stone pigpen	so long as it's your turn to do something about it.
کە پەی ئاﮆی بە ئؽش و قورس بؽ	that was painful and difficult for him.	that it might be difficult for him to do so.
داواو عەفوؽ کەرو کە تۆم دلؽ یاگەکینە ئاردی بەرۆ	I'm sorry I've dragged you out of bed.	I'm sorry you're here.
کاتو ئانەینە کە وازباری	it's time for you to step aside.	It's time for you to leave.
کە نەتاوام کەروش	as I could not possibly have done	that I could not.
گومان نیا چانەینە کە ئینە بؽ بە هۆو ئانەی کۆتایێ تراژیدیش ب	I have no doubt that it led to his tragic end.	there's no doubt that it's because it's over.
کاتێ پۆکەرەکەش کەیس و دزەکانە دەسکەوت	when he got the poker in case of burglars	when the poacher went to the thieves.
ڕەفیقە خزمەتکارەکەم فەرمانش بە سۆرێل ناگی کەرد	ordered the sorrel nag, my fellow servant	my servant's behaviour commanded him to go.
کە هەرگیز جە سڵامی فەرمی زیاتەر نەلاینؽ	that they had never gone further than formal greetings	that there would be no more formal greetings.
بەڵام بتڵەکؽ یاگؽ وؽشانە بؽنؽ	but the bolts were in place.	but the butterflies are still alive.
وەشحاڵەنا کە گؽڵایۆ پەی کاتو وؽش	I'm glad she got back in time.	It's unlikely that it's over.
بەڵام گرد و تاوانەکەی وزو ملو وؽم	but I take all the blame upon myself	But I'm afraid I'm not going anywhere.
بە خؽرای تەماشەو دووریش کەرد	looked quickly away.	he glanced at it with a glance.
دارستانەکە ئؽسە جیاتی سیاوی خۆڵەمێشی بؽ	the forest was gray now instead of black.	the woods were grey instead of grey.
کە ئیمەش وستیمؽ تەمەلی	which disposed us to sloth	that we've heard of it.
کە وەربهێنانش کەردەن نەهەنگەکەنە بە تیۆری سروشتی	that so much invested the whale with natural terror	that they're not going to do it in theory.
پەی ئانەی جە دەسش ڕزگارش بۆ بڕیارشدا وڵاتەکەی جیابازۆ	in order to escape from her, he determined to quit the country	when he decided to leave the country.
مەژگش قینیش جە کۆکراوەکەو وؽش نەبؽ	her mind had no distaste for her own set	I don't think it's in the collection.
پابەندبیەکەی کاڵ بیۆ	the obligation faded.	He's committed to the property.
هەرگیز نەدیەنم وا پؽسە ورکەرۆ	I never see the wind blow so.	I've never seen it before.
بەڵام شازادە پیرەکە قسؽش بڕیە	but the old prince interrupted him.	But the old prince stopped talking.
بە هۆو وارانێ فرەو ویرانکەریۆ بی بەهۆو شکستی	turned into a rout because of a devastating downpour.	because he was overwhelmed.
ڕؽکوستەیش پەی مەکتەبو داهاتوی	arranged it for the future schoolroom.	It's about the future.
من قەشەنا پەوکای مشۆم سەروو گومانیۆ بوو	I am a priest and therefore I ought to be above suspicion	I'm afraid I'm not going anywhere.
هیشتای سەرو پلەکانەکاوە شەش هەنگامؽ وارو وؽشۆ پاڵکەوتەن	still lying on the staircase six steps below him.	six steps to the top of the stairs.
یەرؽ دەقؽ تەماشەو جوڵەو ئەسپەکەیش کەرد	watched the horse's action for the space of three minutes	for a moment, he glanced at his horse's movements.
بەڵام ئەجیامەنە خەم چؽوێن کە تۆ هەستش پەنەکەری هەر نۆعێ ب	but I thought grief was something you felt anyway.	But I'm afraid you don't feel like you're here anymore.
