source	reference	translation
مۊ أن-أ سٚفارش بۊکۊدم	I have advised him to do that.	I thought that would help.
مرأ وأیه حئيقت ٚ جأ واخاب-أ بؤم، حائيقت!	I want the truth, the truth!	I ought to be careful of that!
مي گۊلي-أ پخ بزئم	I cleared my throat.	I've got my boots lined up on the left and right.
اولتأخه مۊ کۊجدانه زأکانه خایلي خۊش دأرم ٚ	but I am always fond of children.	I'm a medical prisoner myself, after my husband's blood is still on the ground.
وانمائي مأنستن کي بام ٚ جؤر نهأ	you're like the weather cock on a roof.	I meant you were gonna come with me.
خؤ جیگأ جأ جستن بۊکۊد ؤ أن ٚ دیم واش واش کۊده ؤ پرکناش ٚ مرأ أمه پئش بيسأ	stood, livid and trembling, before us.	Instead, he held his breath in his chest and listened carefully.
سرأ جؤري جأ بۊشؤ بۊجؤر ٚ ؤ مه چۊم ٚ پئش ایوارأ بس	went up the hill and out of sight.	Turn your head on his shoulder, and take my back.
زماتي کي مي بالانه مۊ سرأ گیفت فر بۊخؤره	even as the hairs on my arms began to shrivel.	The sound of thunder and rumbling continued uninterrupted.
مي سرأ بشادم	I shook my head.	I shook my head.
هسأ همتتأ چي مرأ واضح بخاطر بامۊ	I can remember it vividly now	to whom all was plainly committed.
خؤ دسأ خۊ شق بۊکۊده پيشيني سٚر بنأ	he put his hand up to his forehead.	laying a brawny hand upon his forehead,
مي ایتأ دسأ راستأ گیفتم کي خؤ عۊذرخأستنأ تۊمانأ کۊنه	I raised one hand to halt his apology.	I'm telling you the truth when you're gonna apologize.
ایتأ دۊتأ پیله آه بکشي	gave a long gasp or two	but impaled on the other side of his collar
مي گب أن نیه کي جه اۊجۊر مردأکاني ايسم کي زنأکان-أ بنظر ناوۊرم	I don't set up to be one of those men that don't care about women.	I'm not talking about being abandoned in favor of a man like women.
بۊگۊفتم شاید ایتأ مۊهم ٚ کار بدأره	I thought it might be important.	I thought someone else would be gonna bother you.
خاطرجمائي ناشتيمه تۊ بيبي	I wasn't sure it was you.	I'm not going anywhere because of you.
نۊقره ای آچارأ خؤ جیف ٚ جأ بيرین بأوۊرد	took a silver key from his pocket	as if he had brought out his sack
ولي هلماله سۊمأ زؤرأ نأره	but hasn't got any magic powers.	but not nearly at the same time.
سيأبختي پاپرۊس ننأ	I'm afraid there are none.	the poor old man is blindfolded by blindness.
چۊن ناخؤش بؤ.	because she had been ill	because he was unwilling to marry her.
خؤ عازمأ جزمأ کۊده	for he had made up his mind	he had his meals as usual
مزایأ سرأ گیفتن	the racers started.	they began to purr.
نهايي ضربۊ واقئيت ٚ جأ اۊن ٚ دس نهأ	has the last featuring blow at events.	the body suffered badly from too much fluid in the tissues of his body
آلبت ایتأ دۊتأ اۊشان-أ تفریح وأسي رأ تاوده	I doubt if he's gotten that far yet in fact, I'm sure of it.	Of course, after a few minutes of enjoyment.
سرأ گیفت شعرانه حیفظ-أ کۊدن	went to work to get his verses	mules were hitched, their heads bowed against the cold misty rain
اۊن ٚ ناقۊشي چاقأ کۊدن ره اۊن ٚ أمرأ شيريک بۊبۊست.	be represented as a partner in his own cure.	it was not difficult for me to guess that it was to see that you had become more comfortable with it.
