source	reference	translation
ڤە ئێ دووخا چوار ساتم بردە سەرێر.	I was four hours under these circumstances	I was delayed an hour until the tide subsided slightly.
نیمتەنە و شاواڵ شەترەنجی کردۊتێ ئەێ ڤەر	in plaid frock and trousers.	He leaned his arm against the jamb and listened carefully.
م نمەیلم ماجراکە ڤە ئێ شێوە تەمام بوو	I won't let it end like this.	I don't think the whole thing was over.
ئەر یە بییە گ نێیەت ئە ژەن کەڵنگە دەرک بکەێ	trying to grasp the old lady's meaning	if he would not dissuade the woman from drinking.
ڕووژنامە ئەێ پەلۊ مێزە هێز داتێ	he picked up the paper.	The paper says that energy is needed for the competition.
هایتێر ئەڕا هەمۊشە ئێ دت نازارە ئەێ دەس بچوو	she might be required to sink herself forever.	maybe with all of the sudden this cute little girl in her hand.
ڤە دوشمین و هەڕەشە دەستوور دامێیە بێن	he ordered me in with an oath	They're gonna beat him up in the arms and threaten him.
سە ئەو ڤە ڕاسییا ئەسیر بۊ	so truly was he captivated.	She's really starting to understand the nature of women.
یاواش ڤە زوور زانی هێز گرتم	I raised myself gently upon my knees	I almost swallowed my mouth.
ڤە ئێ حاڵا هەر چەێ شەواهد و قەرائن بی نیشانە میاێ ئەو موجرمە	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	in either case I could have died if I hadn't had time to do it.
دەرجا ئێ فکرەلە ڤە نام زەێنمەێرە گێرداننم و شعرم سازی	I immediately turned this thought over in my head, creating lyrics.	I can't help but think of it, and sometimes of song.
ڤە ئێ گومانە گ مداڵە ئەژ زەڕ بێخەوشە	thinking that it was a medal of solid gold	in a doubt that the affair was staggered
ئەمانێ فرە ئەڕا یەون ئاخ و داخم کرد	but I felt so sorry for them	But I was too late, and I was very sorry.
م ژیاین فرە دووسە مەێرم، بەدبەختی هەر یەسە	I've loved life too much, shamefully much.	I've got a lot to do in my life, and it's the same fate.
ئەمانێ ڤە حاڵێکەێرە گ لەمەسوڕکییان بی، دەس و پاوانە مییا، ڤە ئەژ لاوەلا چوروو و بتە مەهەتنەو نووا. ڤە ئاخرەێر کول ڤە یەکا گولەوان تەقان و حوزوور وژان ئاشکراوا کرد. ڤە دوما ئە گولەتەقاننەلە فرەهان ئەژ سەربازەل ئێ سەر زێن ئەسپلەوان کەتنە هوار.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but in a state like these woods, the arms and the feet stuck in the flower. They were finally made bare in the shape of a bullfrog's.
جوور ژیمناسیککارێ گ هووکارە ئێ کارەسە	like a man accustomed to that kind of gymnastic exercise	in a fascinating but decorous way.
گووشە میاێ ئەر دەنگ شوونە پا زەمان	listening to the echoing footsteps of years.	His voice echoed in the ground.
م فەقەت مەێ ئێ ژەنە بۊنم	I must see the lady.	I should be glad to be with this woman.
ئەێ تونێرە ئاێم دەردبهوەرێکە	he struck you as being pretty handy.	he might be the person in charge.
ئەمانێ سووسک ئەێ دەڕەس ئەو دۊر بی	but it was safe out of his reach.	But the grief-stricken groaning began on the way.
گشت ئاوەخت و ئارزووەلم دریاوە ڤارا	I have lost all my illusions.	I've always been there.
ساێلەوان یا مردۊن یا هەیواوین	all of them silent now, their owners dead or fled.	sickness are infuriatingly violent.
ڤە زۊیی ئێ توڕەکونا گوجەرە، ڤە شێڤە ڕێ ئەڕا ڕەدبین گورج بییەور	it soon stood wide open also.	With this incredible, chaotic turbulence, it will leave me in the dark stairs of oblivion.
ڤە یەێ قەتئییەت ناهەڵمانە و دڵسەرداکەرێ فەمیم گ یە دوماێن ساڵ منە	I knew with sudden, chilling certainty that this was my last year.	I was so sensitively aware, indeed, of being younger than I could have wished to be in my second year.
سە دەم وژمە بەسریا هیشت	I kept my mouth shut.	I've got my mouth in it.
ئیمە جارێ هایمن ئەر ئە جاێ گ هووسیاویمن	we're still where we were.	we might be interrupted in the most interesting part of my story which would be a pity
دەرجا زانستم گ ئێ کلیلە هن کوو بی	I knew immediately what this key was to	I knew the secret was hidden.
سە تو مەتۏنین سەر ڕێ وژت بگرین و من ڤە تەنیا بیلین	so you can get the hell away from here and leave me alone.	So you can take your way and leave me alone.
ئەمانێ کەسێ زەڵە دخاڵەت ڤە کارەێرە نیاشتێ	but nobody dared to interfere.	but no one had any insides at all.
یا یە گ ناخودا سەرە مەشکنتێ	or knocked on the head	Or he doesn't want to exercise.
ئەو تا نزیکەل ئێوارە ئەر ورە مەن	there he remained till nearly nightfall	He stayed there until midnight.
گ ساخمان ئەسڵییە ئەوە، یەێ ڕووژێ لانەهۊ کوچکێنێ بی	as though it had once been a large stone pigpen	As if we were holding it tightly, that was a very small day.
یە کار سەخت و پڕ ژانێ بی	that was painful and difficult for him.	It was a busy end.
داخم ئەڕا یە ئەێ توو جاکەت ئاوردینمەێرە	I'm sorry I've dragged you out of bed.	I'm sorry I haven't let you off.
