source	reference	translation
همینتی چار سات سر هکردمه.	I was four hours under these circumstances	I've been here for four hours now.
کل جمه و چارخونی شلوار دپوشی بییه	in plaid frock and trousers.	The courtyard was full of chicken and eggs.
من نلمبه که ماجرا اتی توم بوه.	I won't let it end like this.	I don't think that's what happened to you.
کوشش هکرده پیرزنای رای ره بفهمه.	trying to grasp the old lady's meaning	He tried to understand the old man's voice.
روزنومه ره میز کنار جا بیته.	he picked up the paper.	I sat off my table.
ولکه این نازنین کیجا درسسی از دس بوره.	she might be required to sink herself forever.	but this is the sweetest thing you could do.
با ات تا فاش مه ره فرمون هدا.	he ordered me in with an oath	They gave me a kiss.
راسسی راسسی کلاید اسیر بیی بییه	so truly was he captivated.	in relation to which document he had a notion that time was beginning to press now.
ونه گلی از ترس خشک بییه و بهیته. و بپرسییه	she asked, her voice rough with stress and fear.	his gallant fear had dried off her hair in the most dark and mysterious way
یواش یواش لینگ رهی هکردا راس بیمه	I raised myself gently upon my knees	He walked into the room.
با این حال درس همه چی شاهدی دننه که و مجرم بییه	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	but let them know that it was really a criminal act.
اندریک یان فکرا ره شه سر بگردندیما ات تا شعر بساتمه	I immediately turned this thought over in my head, creating lyrics.	I stopped short of thinking of a few short words.
با این گمون که مدال اصلِ طلای جا هسسه	thinking that it was a medal of solid gold	with the thought that the gold thread was in the muddy ditch
ولی وشون واسسه خله متاسف بیمه	but I felt so sorry for them	but I'm very sorry about it.
من دیین ره خله دوس دارمه. بدبختی همینه.	I've loved life too much, shamefully much.	I love to see the birds. But it's bad for you.
اما همتی که شه دس و لینگِ جا ساخه سو کردنه و بوته لا به لا پیش اییمونه سرآخر هنتی تفنگ جا شلیک کردنا نشون دانه که در اننه با اون شلیک هم خله از سربازون شه اسب زین پشت جا پایین جر دکتنه	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but when he put his hands back to look at the other side of his collar, he blotted out at the rifle, and then he pulled the other side of his column from the other side of his column.
زیمیناستیک کار جور که به این کار خو هکرده	like a man accustomed to that kind of gymnastic exercise	the earth was corrupted by his environment,' and so on.
زمونه لینگ چمر ره گوش دا	listening to the echoing footsteps of years.	He listened to her with his deep, booming voice.
من فقط ونه این زنا ره بوینم	I must see the lady.	I'm just here with this woman.
ته نظر هم آدم به دردبخری هسسه	he struck you as being pretty handy.	you think someone's in pain, too.
ولی سیس ونه دسرسی دنی بیه	but it was safe out of his reach.	but it was his own guide.
مه تموم امید و آرزو همه به باد فنا بورده	I have lost all my illusions.	I lost all my hopes and aspirations
وشون صاحبون یا بمرد بینه یا فلنگ ره بدا بینه	all of them silent now, their owners dead or fled.	their property they had died or they were plundered
خله زود این کچکی گلیا اتا گذر رای واری آماده بییه	it soon stood wide open also.	but pretty soon this little girl was ready to pass.
ناگمونی بفهمسسمه که مه آخری سال هسسه	I knew with sudden, chilling certainty that this was my last year.	I came to a very keen realization that that that that that that that that was my last year.
پس شه دهون ره دوس بیمه	I kept my mouth shut.	I was so fond of her too.
اما فعلن همونجه هسمی که اس هکرد بیمی	we're still where we were.	but you're doing exactly the way you were doing
اندریک بفمسسمه که این کلی کجه شه	I knew immediately what this key was to	He came to a very keen realization that this was really where he was going.
پس تو توندی شه را ره بیری بوری و مه ره تینار بلی	so you can get the hell away from here and leave me alone.	do thou talk to him and feel the pulse of his wits, and as thou art shrewd
ولی هیچ کس جورات ناشته کار دله دخالت هکنه	but nobody dared to interfere.	but no one dared to stir.
یا اینکه ناخدا ونه سر ره اشکندنه	or knocked on the head	Or that the officer has hit him in the mouth.
آنسلم تا نماشون گدری اونجه بمونسسه	there he remained till nearly nightfall	I was gonna go tom cattin''an' here I ain't had time to do none of them things.
که ونه اصلی ساختمون ات روز ات تا سنگی خوکدونی بییه	as though it had once been a large stone pigpen	that the brazier of his construction was a natural born rope.
اینتا اتا دردناک و سخته کار بییه	that was painful and difficult for him.	It was a painful and hard work.
عذر خوامبه که ته ره لای جا بکشیمه دیا	I'm sorry I've dragged you out of bed.	I'm sorry I left you side mates.
این گدر برسییه که تو کناره گیری هکنی	it's time for you to step aside.	if you had one hand pulling it out
هچ را مه واسسه امکان ناشته	as I could not possibly have done	none of it is possible to me.
شک نارمه که ونه بد بمردن باعث بییه	I have no doubt that it led to his tragic end.	I'm sure it was the cause of his uncomfortable death.
اون گدر به این خیال که دز بییمو تَش کَله سخ ره بیته	when he got the poker in case of burglars	he seemed to have fainted as much as he had wished to thieves.
کرند اسب ره ینه مه خدمتکار و مه هم قطار فرمون هدا	ordered the sorrel nag, my fellow servant	who rode for me and my crew
البته فقط ات تا رسمی سلام علک	that they had never gone further than formal greetings	Of course, only as a formal hello.
خواسسه دله بوره در ره دله وری دوس بدییه	but the bolts were in place.	He left the door and was buried there.
من خشالمه که و خاره موقع دگرسسه	I'm glad she got back in time.	I am glad you find your time.
ولی مه گمون گناه این بدبختی، همه دره مه گردن	but I take all the blame upon myself	but I think the consequences of this unhappiness are all in my hands.
زود ونه جا چش ره بیتا وره نشا	looked quickly away.	he recognized her immediately.
پدیار اسا از سیو به رنگ خاکستری در بییمو	the forest was gray now instead of black.	was now a race of turbulent black waters.
این کار اما ره تنبل و سس کنده	which disposed us to sloth	but it's rotten nonsense.
که این وال ره جوری هکرده که اینتی ترس ایجاد هکنه	that so much invested the whale with natural terror	that seemed to himthat would make him fear.
از اینکه اون چپون کیجا ره نوینه دیگه تصمیم بیته که شه مله ره سر اله	in order to escape from her, he determined to quit the country	though she had decided somewhere else to go.
هچ شه جا راضی نییه	her mind had no distaste for her own set	He's not happy anywhere.
کلاید شه تعهد ره از یاد بورده	the obligation faded.	he had forgotten his duty
بوا هم امون ندا و زمین و زمان ره دپیته	I never see the wind blow so.	If you leave him alone, you will not leave him alone.
ولی شازاده وره پیش دکته	but the old prince interrupted him.	but she stopped in front of the prince's chair
ناگمونی تند شلاب جا رته رم بییه	turned into a rout because of a devastating downpour.	I didn't even think about it.
اونجه ره برای اینکه بعدا امه همکلاس و درس بووه رج هکردمه	arranged it for the future schoolroom.	I left there to learn my lesson.
من کشیش هسسمه و ونه از هر فکر بدی شه جا دور باشم	I am a priest and therefore I ought to be above suspicion	I'm the chaplain and I have to stop thinking of evil.
هنو با هری شیش گوم فاصله داشته	still lying on the staircase six steps below him.	as he drew himself away from her
شه دقیقه تموم اسب حرکت ره اشا	watched the horse's action for the space of three minutes	He watched the whole thing.
ولی فکر هکردمه که غم و غرصه چیزی هسسه که بهرحال آدم ره دس دنه	but I thought grief was something you felt anyway.	but I thought it was some sort of pity that would make him miserable.
از پله بالا بورده تا راهروی دله برسییه به ات تا در	went up the staircase to a door in a corridor.	He ascended the stairs leading to the door.
هرچن این زمت مزی که خرند باشه نداشته	though with but small success for their pains.	though he hadn't had time to eat it.
همینتای سسه ات تا وکیل ره واسطه بیته که کار ونه جدایی از وه ره درس هکنه	but sent an intermediary to arrange the terms of the separation	so that he could learn to spell.
چون پیشترا این همه نیاز ناشتمه تِن بائم	for I have never had such need of haste before.	Because I don't need to go with you before.
از دستوری که ونه مردی وره هدا	at the orders her husband left her	in the palm of his hand.
با کنجکاوی و دقت اون زمین که دکتمه ره شه دور ور ره اشامه	look around me with some interest on the strange land that I was in.	I curiosity and professionalism surrounded the ground.
پشت جا سنگ خره سر لم هدا	lay down on his back on the heap of stones.	He leaned his back against the rock.
قرار نییه ایی وره از نو بوینم	I was never supposed to see him again!	I'm not going anywhere.
انگار ناچار بینه که بلن و شه حرف ره بزنه	as if they were forced to let him say it.	as if they were forced to kneel in silence.
همنتای سسه شمه سره ور بتجسسمه	that is why I hastened to you.	I'll ask you how we can find him.
نخوامبه دیگه این موضوع خوری گپ بزنم	I don't wanta talk about it no more,	I don't need to talk about it any more.
همینتای واسسه هسسه که سطح کشاورزی فرو بورده	that's how it is the whole level of husbandry has fallen.	So much so that agricultural levels have fallen.
ونه ته ره هشدار هدم این اتاق جا هم گت تره	I should warn youit's bigger than this room.	I warned you that this room was a big deal.
شه واسسه و شه وچون واسسه ات تا دوکتور استخدام هکرد بییه	for herself and the children she employed a physician.	He hired his father and his mother to be a doctor.
تا اونجه که تونسسه مفق بییه گت گتون میز ره اماده هکنه	she did everything possible to keep the places at the table of honor in order	So that he can comply with his request.
این نحسه مار ره دیین تلافی ره هکنه	a recompense to you for his mother!	I'll make you feel the kiss of compassion on a bag full of rusty old face.
همینتای سسه شوسری بورده اونجه	he went down that night.	So he got out of his way.
شه اسب ره مهمیز بزو و دیما روخنه بورده	spurred his horse and galloped into the river.	He went to my master and went to my master.
منم شه جا زمزمه کردمه	I still humming my little tune.	I closed it.
چن تا تیکه یخ ره دسمال دله دکردا ونه سر بشندییه	ice cubes on her head	some of the ice in the depths of her hands had been picked up.
کشید و از اون شه ریکای عکس ره بیرون بیرادن واسسه به کار بورده	she used it to push out her son's photograph.	pulling up his camera against his back
تو شه پیش خیال هکرد بی که ات تا کچکی جنگ مه جا هکنی	you reckoned on a bickering!	you thought a little girl would be on the front lines with me.
دلسوزی په کره هم بییه مه ره اتاق دننه	I should be given a small room as a favor	He also made me go into his room.
بیتتر از اسلحه و گلیله سراغ دارمه	than either a bullet or a knife.	I've got my gun and a pencil.
هر کی ات دور شوهرت مزه ره بچشه	once you've had that first taste	He will do him all the good that lies in his power.
هارشینه تونده ات د سات اون حال هوا باخسه	or trying to snatch an hour or so of sleep	The grief-stricken groaning began on the pretext that the garden had been abandoned for an hour.
انگار هچیی پیش نییمو	just as if nothing had happened.	It's as if I haven't got anything ahead.
با این کار اتکه ونه تنِ پوس و لواس بوسندی بییه	tearing both skin and clothes to some extent in the effort.	with that he was timidly following her
من سرنوشت این بییه که درس روز جان بکندما زجر بکشم	I shall have to toil and moil all my days	I was determined that I was going to have a good day off.
ات دسته آدمه که دیین ره تازه شرو هکرده و النده که ازرائیل ونه جان ره بیره تا د مرتبه بیعاری هکنه	it's the hand of a man that's started in on a new life, and'll die before he'll go back.	the hand of a man who was only a baby and who was about to die after paying for the animal's support.
ایی خواسسه دیگرون دم ره بیره تا کیک ره نخرن	as earnestly tried to prevent any body's eating it.	he paused on purpose to eat the other side of the stream.
تا اون گدر که وشون چش اسپی دیار نییه من مشکلی نارمه	I'm not really in trouble until I see the whites of their eyes.	Until their very eves don't leave me.
من انتظار ناشنه که شه باشم	I hadn't expected to be myself.	I can't wait to find out.
چونکه ویشتر از هش سال ناشته	for, although she was only eight years old	Because no longer than six years.
اول باشن چون که چپر فقط ات نفر سسه را داشته	both of them could not be first, for the ladder would but admit one man at a time.	well, since it was only a silent witness.
اونجه جز هسسکا هچچی دنی بییه	naught was there but bones.	There was nothing but tears.
من میز دورور ره ات تا بشامه	I look helplessly around the table.	I pushed the table and looked at it.
حتی اون زمانی که ونه دره حبس بیی بییه	not even the length of time he had been imprisoned	Even when he was in his jail.
وره سره ی ور بکشییه	dragged him to the house.	And He made him to walk in a straight path.
شما اولی آدم هسسنی که اینتای جا باخور بوین	you'll be the first to know.	you are the first people to know the garden
شما ره بتتمه که من دیگه کشیش نیمه	I told you I ain't no preacher	I told you that I wasn't a chaplain anymore.
ظاهرا مه میونی انگوس دون بلنتر بییه	seemed to be somewhat longer than my middle finger.	it seemed to me that the grief-stricken groaning began on the body.
چونکه من شه خدای موتاجمه که مه ره ببخشه	because he hopes to be forgiven	I need to bless you and bless you.
شه سر ره بوور نکردما تکون بدامه	I shook my head in disbelief.	I shook her head vigorously.
یان چی باعث ننه همه چی ره یاد بکنما ته ره ببخشم	I still think you were hateful that night and I never expect to forgive you.	That's why I shouldn't forget about it.
ونه دل جدول حل هکردن واسسه تنگ بییه	he missed doing the crossword.	The plan for his stay was very delicate.
همونجه وره چال کنده تا سرصدا باخسه	they'll bury him right there.	From there, he climbed into the garden.
ولی شکر ره یاد بکرد بییه	but he had forgotten the sugar.	but had forgotten in the course of his marriage.
اتی فکر دله غرق بیی بیه	was deep in thoughts of something else	it seemed to himthat he was drowning.
کلا ره شه سر بشتا هنیشته	put on the hat and sat down.	He went down with his head in the water.
وه اکسیژن نیاز داشته	he needed oxygen	Except for the real Rome that needed repairs.
اونم نا خرج بخد و بی دون هچچی	not by spending as he pleases	He got out of it and didn't know anything.
پارسال اندرا که شه کلا ره شه سر بئشته	when he'd placed the hat on his head a year before	Last year was a perfectly good one.
شاید اروسسی به همین زودی پیش بییه	may even be about to marry her before he leaves here?	I'm saying maybe he'll get to it soon.
دیگه هیشکی نتونده ونه دم ره بیره	nobody seems to be able to stop her	he could no longer stand it.
که تموم ات تا تصنیف اهمیت فقط ونه کلومات دله دره	that the whole meaning of a song lies in the words	It's the secret of all creation.
ولوله همتی ادامه داشته	almost crumpling beneath the weight of a disapproval she had never known before.	but it was still going on.
من هیچوخ شه زندگی دله اتنده خشال نیمه	I've never been so happy in all my life	I've never been so happy in my life.
فکر نکن که بونه تیناری وشون برابر اس هکردن	don't you go fighting them alone.	Don't think that it would surprise me to think of you.
ونه خش تراش بال برهنه بییه	her beautifully moulded arms bare	The hair is still wet.
اگه درو بهوت باشی ات تا خاره سِما دارنی	if you are telling me a lie, I'll lead you a pretty dance.	If you ever find anything, send an owl to Ram.
