source	reference	translation
چهار سات مؽن ای وضع وه چول کردوم	I was four hours under these circumstances	I've been in this situation all four hours now.
وا جوڤه و پاکش چارهونیی.	in plaid frock and trousers.	He's got to go back and forth on a pitch.
مو نؽلوم ئیچنو تمۊم وابۊ	I won't let it end like this.	I don't know if I feel like a darling.
پلرد که نیت دالۊ نه هالیس وابۊ	trying to grasp the old lady's meaning	but she was determined that she was going to be happy.
رۊزنامه نه تی میز ڤورگرهد	he picked up the paper.	He put the paper on your table.
گاشت ئی دوهدر نازلۊ سی همیشه ز دست روه.	she might be required to sink herself forever.	but this rule is still unsettled.
وا دشمۊن نهیڤوم دا	he ordered me in with an oath	I fought him.
وه راستی کلاید وه دیل وابیڌه بی	so truly was he captivated.	he was truly beginning to know women.
هو پورسی: دنگس وه زهله و تلواسه هوشک و گرهڌه بیڌ	she asked, her voice rough with stress and fear.	"He asked himself, ""He was awake and was dressed as usual""."
آرۊم و زۊر زۊنی ڤورایستام	I raised myself gently upon my knees	I rose as soon as day dawned.
وا اؽ حال چینو دیاره که همه چی و هر چی که نهنگس بؽ اوسو، نشوݩ إده که هو اؽ کارونه کرده.	yet every circumstancesurrounding him at the time seem to indicate that he did do it.	He still had a record of everything and everything that had happened to him.
توندی اؽ فرگانه منه سروم‌ در داڌوم و بیت راست کردوم.	I immediately turned this thought over in my head, creating lyrics.	I thought you said I'd be crazy and stupid myself.
وا ئی گمۊن که مدال ز طلای بی غش بۊ	thinking that it was a medal of solid gold	to whom she had left that she had received the bad deeds and bad reputation
ولی غلۊه سیسۊݩ حس لۊل کردوم	but I felt so sorry for them	but I felt it many times
بڌبختی یو نه که مو زنده‌یی نه غلۊه دۊست داروم	I've loved life too much, shamefully much.	I've been misled in my life.
ولؽ رؽ دستا و زۊنؽ سئرن منجا پرزینا و تئنا وا تؽر زیڌن که خیلی ز زؽنا نه پتی إکونه بؽڌن خوسونه إگون.	but creeping on their hands and knees through the bush, and only let their presence be known by a general discharge of firearms, which emptied many saddles.	but the hand and the heart of women were set on the pretext that they were not quite easy.
چی جیمناستیک کاری که هۊکاره ئی کاره	like a man accustomed to that kind of gymnastic exercise	his genius for doing it
وه دنگ پای زمان گۊش اؽڌه	listening to the echoing footsteps of years.	he wasted his time.
مو فقط وا ئی خانوم نه بڤینوم	I must see the lady.	I can only see this lady.
وه نظر تو هم آڌم وه کار بخوریه	he struck you as being pretty handy.	he seemed to have eaten the piece of bread.
ولی سیسرک ز دسترسس وه دیر بی	but it was safe out of his reach.	but the tape measure was too late for him.
گشت آرمۊنلم وه دستوم رهڌ	I have lost all my illusions.	I've got it all over now.
صحاڤلسۊݩ یا مورده بیڌن یا فیچسته بیڌن	all of them silent now, their owners dead or fled.	They've got to get out of their way or die.
وه زلی وه ئی لیک کۊچیر رهؽ سی عبۊر واز اؽبۊ	it soon stood wide open also.	He pulled up his coat.
یه‌ناگه و وا دلسردی فهمستوم که یو سال آخرمه	I knew with sudden, chilling certainty that this was my last year.	I realized with a shock that I'm going to last year.
په دهۊنمه واز نکردم	I kept my mouth shut.	I didn't even say a word to her.
ایما هنی همۊچونیم که ویساده بیمۊݩ	we're still where we were.	We're still trying to work out a divorce.
فۉرا فهمستوم ئی کلیل هؽن کۊچو بی	I knew immediately what this key was to	I understood immediately how that was the key.
په تو اؽتری رهته بگری بری و مو نه تهنا بؽلی.	so you can get the hell away from here and leave me alone.	if you please go to bed and see me alone
ولی کسؽ جوریت دغالت مؽن ئی کار نه نڌاشت	but nobody dared to interfere.	but no one thought so much about it.
یا یو که ناخڌا سرس نه اشکنه	or knocked on the head	Or one who shocks the captain's head.
هو تا مجال ٱفتۉنشینۊݩ اوچو مند	there he remained till nearly nightfall	he gave the chance to run with him before it was too late.
هۊنه بون هو رۊزؽ لهرؽ نه بؽشتر بی	as though it had once been a large stone pigpen	where she was much more anxious to say goodbye.
ایو کارؽ زنشت دار و دوشخار بی	that was painful and difficult for him.	it was a married man, and he was glad.
بۊهخشین که مؽن جا کشیدومت در	I'm sorry I've dragged you out of bed.	I'm sorry you're giving me the chance.
مجالشه که دی بکشی کنار	it's time for you to step aside.	when you're due at the time
ز ته سیم امکانس نی	as I could not possibly have done	It's not possible.
شکوم نی که باعث مرگس وابیڌ	I have no doubt that it led to his tragic end.	It's no doubt that it's the cause of his death.
وختؽ که وه گمۊنؽ که دوز اویده سیخ چاله نه ڤورگرهڌ	when he got the poker in case of burglars	when she sets herself to press a point
وه اسپ کرند که خزمتکار و دۊست مو بی فرمۊن دا	ordered the sorrel nag, my fellow servant	He ordered me to go back to the nursery.
جلز یه سلۊم علیک رسمی	that they had never gone further than formal greetings	dressed as usual with a sling.
خاس بیا داخول که در ز داخول بسته وابیڌ	but the bolts were in place.	locked her up on the left and right.
مو سرمست ز یو که هو سر مجال ڤرگشته بی	I'm glad she got back in time.	I thought he wasted the time.
ولی وه گمۊنوم گشت گونا ئی بڌبختی وه نای مونه	but I take all the blame upon myself	but I guess it's all said and done about that.
یه‌ناگه تی زس ڤرگرهڌ	looked quickly away.	he abruptly bent double
دارستۊݩ ایسو ز رنگ شه وه رنگ کۉ وابیڌ	the forest was gray now instead of black.	He was dressed as usual.
ئی کار ایما نه وه کاهلی اؽواداره	which disposed us to sloth	We're going to have to deal with this unprepared priest.
که ئی واله ئیقزر زهله بر کرده بی	that so much invested the whale with natural terror	that he had burned the dimming piles of nostalgic waste that life had accumulated in his hands
سی یو که دوهڌر چۊپۊنه نڤینه تصمیم گرهڌ ڤی ولات روه	in order to escape from her, he determined to quit the country	for, upon a strict review, she had decided to leave it untranslated
ز حالس ناراضی نبی	her mind had no distaste for her own set	he was not dissatisfied with her.
گشت ٱند خوسه ز ڤیر برد	the obligation faded.	Everybody knows that.
باڌ هم ٱمۊݩ ندا و گشت زمین و زمانه وه یک رهڌ	I never see the wind blow so.	joined in the plot of time and all the earth and sky.
ولی شازاڌه زس زه وا نها	but the old prince interrupted him.	but the prince was awfully fond of her too.
وه سی لف بارۊݩ یه‌ناگه تارستن	turned into a rout because of a devastating downpour.	he was making him jump so badly that
اوچو نه سیکه مؽن آینده هم کلاس درمۊݩ وابۊ مرتڤ کردیمۊݩ	arranged it for the future schoolroom.	I shall have to teach her first how to study
مو کشیشوم و ڤا وه هر بهتۊنؽ وه دیر بۊم	I am a priest and therefore I ought to be above suspicion	I'm a priest, and I hope I can be so late.
هلام وا هو شش پله فاصلَم بی	still lying on the staircase six steps below him.	I was still standing on the six stairs.
گشت سه دقه نه سیل وه تورکستن اسپ کرد	watched the horse's action for the space of three minutes	in the space of three minutes he sped off.
