source	reference	translation
Nika pê hêrişan yeno waştenê ke heme qezencê înan dest ra bêrê girewtene.	Now, these attacks are intended to take away all their achievements	All his powers had reached the ground and he was now in pain.
Çimê mi bîyî pirrî hesirî.	My eyes filled up with tears	My eyes were like birds.
No zî beno semed ke vîrus vila bibo.	This, too, is the reason why the virus spreads	It didn't take long for the virus to spread itself.
Hetanî sinifa çarine dewa xo de waneno.	He studies in his village until the fourth grade	They're going to have to end up in the middle of the road.
Ganî pêro cinîyî xeyalanê xo bîyarê ca.	All women should fulfill their dreams	they must carry on their own adventures.
Mi zî tercumeyê kirdkî kerde.	And I have translated it into Zazaki	I have also been hurrying off.
Seba ke ciwan vera naye vejîyano polîsî ey wesayîtî ra fînenî dûrî û dest şanenê qirrika ci û erzenî erd.	Because the youth protests against this, the police throws him out of the car, grab him by the throat and onto the ground	This young man had become a policeman, and therefore he had become a precious metal.
Ma vînenê ke rayaumûmîye de derheqê bawerîya elewîyan de muneqeşayêko cîyaker yeno kerdene.	One sees that the separatist discussions are made in public concerning the faith of the Alevis	Let's find out that there's a better way to defame the party or create suspicion within it.
O rî ra kî ê mînetdarê dersimizan ê.	For that reason they are thankful to the Dêrsimis	That's why they're teaching him.
Hetê ra gureya hetê ra kî wend.	On the one hand, he worked, on the other side, he studied	It's as if it's lost the ability to communicate between space and sound.
Her diyan sere şanayo pê ke ti vana qey kirmanckî nînan afernayo!	Both of them smashed their heads together as if they created Kirmanckî on their own	Every second you can make a mistake and make a mistake!
Welatê ma binê sîyasetê qirkerdişî de yo.	Our homeland is subject to deathly politics	Our country is covered by a warrant.
Wa wendişê mewlidî biancê kamera.	We should record the reading of the Mawlid	I need to go with my crew to the camera.
Tena yew qusurê xo esto ke merdim nêeşkeno nuşteyan kopî bikero.	There is only one flaw, one cannot copy the writings	There's only one bridge here that can't make tracks like these.
Ino hereketê ci îsbat kerd ke ez otomatîkman biya serekê grûbî.	His/Her movements proved that I otomatically became the leader of the group	This gesture showed that the automatons were a group.
Yeno keye ke nîmeyê awe zî nêmenda.	He comes home and not even half of the water is left	That's why he doesn't show any of them.
Ez koma her dîyan a.	I am in both groups	I'm all dated up.
Her çî wextê ey esto.	Everything has its time	all the time was enough.
Eke roşîya nême şima rê nême bidîn ma.	Once sold, half is your, give the other half to me	If you don't follow the rules, you won't let us go.
Dima sond dekerna û beyraqe dîrege ra arde war.	Later, he recited the oath and pulled down the flag from the pole	Then he hurried out of the legion and made off the wagon.
Kifş o ke cuye o tayê rew hincirnayo.	It's evident that life has worn him down a bit early	It's good a hater runs a bit of adventure.
Xora qeleme dest de hazir a!	The pen is already ready in hand!	The end of the road is ready!
Yew hîkaya xo bi formê nameyî amo nuştene.	One of his/her stories was written in form of a letter	the story was told in its own way.
Zereyê çimanê xo ra to de huyeno.	He laughs at you from within his eyes	Most of the time you're in the rain.
Kesî îtîraz nêkerd.	Nobody objected	No one snoticed.
Merdim ancax ziwanî ra bizano.	One can only know from the language	I need to know the details of the details of the details.
