بستگی او به پیشرفت و به نسل جوان ما سودایی بیش نبود.	he attached himself to the cause of progress and our younger generation from enthusiasm.
اینجا آشپزخانه است	this is the kitchen
من کاری ندارم به شما بدم .	I have nothing for you to do.
با شتاب از اطاق بیرون رفت.	she hastened from the room.
دی گه طاقت ندارم.	I've had enough of it
بیل و کلنگ را آنجا برده بودند.	they took the spade and the pick there.
سپس من او را پیدا کردم و میخ وام همین الان به او عشق بورزم	then I've found him and I want to go to bed with him.
آهی کشیدم و سوییچ را به او دادم.	I sighed and gave her the key.
بی آنکه در رفتار او نشانی از شتاب یا گرفتاری مداوم به وجود آورد.	yet never seeming to be hurried, or to have too much to do?
این حادثهٔ غر مترقبه چنان بر من ناگوار آمد که نزدیک بود عقل خود را از دست بدهم	I was so overwhelmed at this unexpected circumstance that my mind was positively clouded.
شاید بتوانیم این بیچاره را نجات دهیم.	we may be able to save her.
د سپس به اطراف خود نگریستم	I looked round
تو با آقای لایدگیت نامزد بشوی من خبر نداشته باشم	you should be engaged without my knowing it
کسی تو هر چیزی ازش جلوتر با شه.	anyone beating him at anything
که پیش از آن سابقه نداشت.	that had never happened before.
شستشو با میع ساتورن و تحریک با آب سرکه را بیفزایید.	lotions made with the subacetate of lead, and fomentations of oxycrat.
ضمناً نشان داد که مهارت خاصی در انجام کارهای دستی داشته	she had a remarkable ability for manual work
از این فرصت رفع خستگی و هیاهو خوشنود بودند.	they were like schoolboys after a few hours in school.
اگه من رو با خودت از این جا نبری از بین میرم.	I shall perish if you do not take me away.
او به حمله عصبی دچار شده بود!	she had an attack of hysterics.
من تنها از شما سپاسگزار نیستم	I am not exactly thanking you
اما این بار خطر از بیخ گوشش گذشته بود.	but it had been a narrow escape
در خور راهزنی باشد	as became a pirate
خم شد و گونه او را بوسید.	bending, kissed her cheek.
روی جسد خم شده بود.	bent over the body.
حیوانات را به دام اندازد و آب پیدا کند.	tracking animals and finding water.
بدین قصد اتاق را ترک گفتم.	I quitted the chamber.
من یادداشت را خواندم	I read the note
اینک بازگشته بود.	had come home.
پول نسبتاً زیادی در حدود 200 پوند در بانک داشتم	I'd still got plenty of money in the bank, nearly two hundred quid
که از غصه نزدیک است که گریه کنم.	you would make me weep, if such a thing were possible.
به بنائی رسیدیم که از چوب ساخته بودند و الوار را در زمین فرو برده بودند	we came to a long kind of building, made of timber stuck in the ground
منظورم جنگ واقعیه.	I mean real fighting.
من همونطور که خودش خواسته بود کتابو واکردم.	I opened the book at random, as she proposed
ما رو جای جن یا غول گرفته.	took us for ghosts or devils
در آستانه در ایستاد تا شوهرش را آزاد بگذارد.	lingered on the matting, that she might leave her husband quite free.
سرم را برگردانیدم	I glanced over my shoulder
آری الماس را تمام به خودمان داد	yes nothing more true
پیرمرد اخلاق سگ را پیدا کرده است.	the old man is as surly as a dog.
ما به زودی قایق را روی دریای صاف و شفاف به حرکت درآوردیم.	we were soon skimming swiftly over a smooth sea.
چنان از زیردستان خود توقع احترام دارند	extorting almost as much outward homage
نمی تونم با تو همخونه به شم	I can't move in with you.
ساعت و اوضاع و احوال و دور و بر همه با این کار سازگار بود.	the hour, the circumstances,the surroundings,were in keeping with it.
بعد هم با پایمردی کامل اعلام کرد که از کاترین تقاضای ازدواج خواهد کرد.	as steadily declared his intention of offering her his hand.
درها باز نگه داشته شده بودند تا هوای خنک وارد شود	the doors were propped open to let in the balmy air.
اما دختر با سر اشاره کرد که خواهد ایستاد.	but she declined availing herself of it
چند جرعه بزرگ چای نوشید و به این ترتیب کلک لقمه او را کند	took a series of large bites, which finished his first hunk of bread and butter
اما برای من یک ساعت ساییدن اضافیه!	but to me it's an extra hour scrubbing!
بازوها و پهلوهای خود را نیشگون گرفتم	I pinched my arms and sides to awake myself
من که جوراب لازم ندارم.	ask about some socks.
که ناشی از افراط در احساسات است	from the indulgence of our passions, and
صدای یکی از آن سه معلم عالی رتبه بود.	one of the upper teachers
آیا باید نشان آفتاب را که رقیب بر سینه خود منقوش دارد با شمشیر به دو نیم کرد	whether or not the sun is to be divided and portioned out
زینش بک نه	to saddle them
انتظار داشتم ناامید باشید	I thought you would be hopeless
یک لحظه به آن نگاه کرد	looked at it a moment
من هیچی نگفتم.	I'm saying nothing.
که این شایعه را تکذیب نمایید.	to contradict this statement
آنگاه کاغذ را اندکی از خود دور کرد	then pushed the paper a little way from him
زیرا دید که هیچ کس در شک و تردید او با وی سهیم نیست.	as an unqualified fact because no one shared her doubts.
تنها یکی از پاهایم را با زنجیر به تخت خواب بستند	only fastening one of my legs with a chain, near my bed
التماست می کنم که بگذاری اینجا بیاورمش.	I beseech you to let me bring him here.
گمانم جوابش مثبت باشد.	I must have, I suppose.
در لذت و هیجان این کشف شریک آنان گردم.	to enjoy the sport of the search.
آن هم وقتی با پررویی تا نزدیک مردنش صبر کرد.	when he's had the impudence to show it at the last.
این صدا معنای دیگری جز طنین آرام ساعتی که از دور وقت را اعلام کند نداشت.	these noises meant no more than the chiming of a dull clock in the distance, marking the hours of the night.
خودم را از این حال علاج کنم.	I'll cure myself of this.
دوستش داشته باشد	she loved him
تاکسی صدا زدم	I stick out my hand and hail a taxi
گفتیم که تونل منشأ جادویی داره و فقط با جادو بسته می شه.	that the tunnel is of magical origin and can only be closed magically.
کسی که از برادرش چیزی بدزدد هرگز شرف ندارد.	but if he robs his fellows there is no honor in him
از این موضوع سخت نگرانم.	I am dreadfully afraid.
اشک وب بالایی تقریبا تمام شده بود.	upstairs almost all the rooms were finished.
او را در رواق صومعه یافتند که با یکی از زنان راهبه به صحبت مشغول بود	whom they found in the cloisters in conversation with one of the nuns
خانه رو به رویمان قرار داشت.	the house lay before us.
من میل دارم که تو همین جا در جوار من و در مصاحبت این نیک مردان بنشینی	I desire that thou seat thyself here at my side and in the company of these worthy people
سبک او این بود	that was his style
واقع آنست که چندان توجه با ین تفصیل نکردند.	they hardly heeded this detail.
