امیدوار بودم به قدری ناراضی نباشد که از خیر سوا لاتی که منتظرشان بودم بگذرد.	I hoped she wasn't so dissatisfied that she would skip the questions I was waiting for.
اما من دویدم و به تنه درختی پناه بردم	but I ran to the body of a tree
بر سنگ قبر کشیشی که چندین سال پیش درگذشته و بر اثر زهد و تقوی شهرت فراوان کسب نموده بود نشسته است	itting on the tombstone of a monk who had been famous long ago for his saintliness.
اگر خواننده تمام هوش خود را یک جا به ما بدهد	if the reader puts all his intelligence at our service
حی علی الفلاح.	come to security.
به او علاقه بسیار پیدا کرد.	took great interest in him.
بابتش پنجاه دلار پول داده بود.	it cost fifty.
از بالای دیوار دشت سمنتی گسترده و یکدست را مشاهده کرد.	peered over the wall to the broad smooth plain of cement.
تا اینکه تقریباً با تأخیر چهل ساله به اهمیت ساده زیستن پی ببرد.	in order to discover the privileges of simplicity almost forty years late.
اما زنگ ساعت خبر خوشی برای ما بود.	but the news was good
من چشم بسته راه میرم.	I could shut my eyes an' walk right there.
بارها و بارها دیدمش.	I see him from time to time.
ما در کشتی کهنه فلینت که وال رس نام داشت مانده بودیم	us standing off and on in the old WALRUS.
استیرفورث هم اطاعت کرد و روی صندلی نشست و پشتش را به میز چسباند.	who, accordingly, sat himself down, with his back to the table
مردی با صورت اصلاح نشده و کثیف با شمشیر و نیز صلیبی کوچک که با نخ سفید به سینه چپ اونیفرم ستوانی اش دوخته شده بود	some unshaven, dirty man, girt with a sword and with a tiny cross embroidered in white cotton on the left breast of a lieutenant's uniform
کریستف دل تنگ بود که چرا اینک که آن دیگری مرده رو زا همچنان زندهاست.	he hated her for being alive while the other was dead.
اما به نظرم میاد که این جور ادما بدون خرد کردن افراد دی گه نمی تونن به جایی بر سن.	but it seems to me these guys don't get to the top without trampling over a few people on the way.
من گفتم نه.	I said no
این خنده طنین دار وزیر و رجل سیاسی تأثیر عجیبی در وی کرد.	this ringing, high pitched laughter from a statesman made a strange impression on him.
تمام شب را به میگساری پرداخت و آنقدر در صرف نوشابه افراط کرد تا به دست خود رشته حیاتش را برید!	he has spent the night in drinking himself to death deliberately!
چشمش به دو رشته گیس زرد افتاد	he saw two long tails of yellow hair
اما چون وکیل پادشاهی غایب است مکتوب رسیده به کاتب اسرار ایشان که اذن باز کردن مکاتیب را دارد	but that gentleman being absent his secretary by his orders opened his letters
من وقتی دیدم	when I heard
که نزدیک یک ربع ساعت در کالسکه نشسته بود.	who had been seated a quarter of an hour on his box
آنا وقتی او را دید تلوتلو خوران جلو آمد و خود را در آغوش او انداخت.	as she saw him, she staggered forward, and half fell into his outstretched arms.
پس از حمله فقط هیجده نفر باقیمانده بود.	only eighteen were left after the charge.
عاشق دریا و عاشق عشق بود.	he loved the sea and love
جزوه کش را در بغل خود محکم کرده و خفت.	placing his pocketbook under his pillow.
خیلی دوست دارم.	I do like it so very much.
من توانستم اطراف آن را که با چندین سلسله راهرو و پلکان محاط شده بود و در فواصل معین ممکن بود که از یکی به دیگری فرود آمد بنگرم.	I could see the sides of it encompassed with several gradations of galleries, and stairs, at certain intervals, to descend from one to the other.
یادآوری اندوه گناه نیست.	it is no sin to remember a grief.
دوتاشون زوار دررفته	two layers of fabric worn through.
کورمال به طرف اطاق رفت	went in the darkness
بلافاصله به عنوان یک اشراف زاده منفور به من حمله کردند	I was set upon at once as a hated aristocrat
زیرا با اینکه پتو مانع دیدن بود	for though it was covered up
کشته خواهد شد.	that man's dead.
شما دو تا باید بدوئید	you two need to run.
ولی من اجازه نمی دم از این کارها به کن ین.	but I won't have you do this sort of thing.
حتما خود او این تقویم را روی دیوار کنده است.	it was he, without doubt, who scratched a calendar on this stone.
قلب پلاگه شروع کرد بآرامتر زدن.	her heart began to beat more lightly.
به ساختمان خانه خیره مانده بود	his eyes fixed on the house.
12 نسبت به درماندگان بسیار مهربان و دلسوز است	12. he is kind and compassionate to the poor and weak persons
کاری کن که از این وصلت راضی باشد.	incline him to be satisfied with the match.
می دونم خانم	I know, ma'am.
شعله جلویی را روشن کردوقهوه را روی آن گذاشت.	lit the front gas ring, and put on the coffee.
از صمیم قلب دوستتان دارم.	I love you dearly.
در این قایق هیچ جای ترس نیست.	there is no room for fear on this lighter.
نوبت بدبختی فرارسید.	then unhappiness came.
زیرا رفیقش هنوز بیهوش بر زمین افتاده بود	for the carrier still lay senseless
با تعداد صفحاتی که شب قبل پس از مرخص شدن از نزد او موفق شده بود بنویسد.	as many pages as he had written since his farewell to her.
پس شاید تمهید شر و فسادی درباره شما کرده باشند.	it was, perhaps, some plot against you.
نیز نوعی نا آسودگی خاطر در عشق هست.	it has in it a certain diffidence.
که این حرفه را انتخاب کردهاند و تصدیق میکنید که هر شغلی جنبههای منفی هم دارد.	who have chosen that career, and one must allow that every calling has its disagreeable side.
این یک قهرمان بزرگ است!	he is a hero!
به طرفش رفتم و کنارش زانو زدم.	I went and knelt beside him.
این رنگش را ندیده بودیم!	but this beats everything.
این بار واقعا از ناراحتی به گریه افتاد.	she cried in real anxiety and burst into tears.
کشف کردم که از چه چیز ساخته شده است.	I discovered what it was really made of.
شمارو می گم!	that you are not!
آنقدر بزرگ شده بودم که لذت تنها بودن را احساس کنم.	I was just old enough to know that it's good to be alone occasionally.
از حل این مشکل که شعر چیست و حقیقت چیست نومید شد و در افسردگی ژرف فرو رفت.	he despaired of being able to solve the problem of what poetry is and what truth is and fell into a deep dejection.
من قبل از ناهار این اتاق را با دقت گشته بودم.	I searched this room carefully before lunch.
خانه آتش گرفت و از بین رفت.	the house had burned down
