یک بار نیم ساعت به تماشای سه سایه ایستاد	once she stood half an hour watching three shadows
پنداشتم که آنان ریزترین و خوارترین موجوداتی هستند که من تا آن زمان دیده بودم.	I thought they were the most little contemptible creatures I had ever beheld.
فقط وقتی تو از اینجا رفتی من واقعا فکر کردم .	until you went away from here.
الان برای من پانصد فرانک پول باقی مانده است.	I myself had still five hundred francs left
در آشپزخانه وسیع و در دل تاریکی سرش گیج رفت.	that the floor dipped forward like a sinking lighter.
بیشتر شبیه به قند سوخته بود تا طلای با ارزش.	was more like common caramel than valuable gold.
بازرس نیز از عقب ضربه دیگری به پشتش زد	the beadle gave him another tap behind
از آن پس روابط ما سخت بو خامت گرائید و بزودی بر طبق درخواست خودم محل سکونتم در آن سوی شهر	I requested to be quartered somewhere else, and was shifted to the other end of the town
چون هیچ کدام حاضر نبود این مقام را به آن یکی ببخشد.	for none would yield this proudest post to his neighbor.
بهر حال صرف نظر از اینکه چنین باشد یا نباشد	but, whether they were or no
من فقط مقصودم این بود که او را به خاطر بداخلاقی و سوءظن بیجایش تنبیه کرده باشم و بیش از این منظوری نداشتم.	I wished to punish her sauciness, that's all.
که به این مرد دیوانه و مست خشونت نکند.	that drunken imbecile to account.
اما حتی یک بار هم به خانه راستوفها نرفت.	but had never been to see them.
لیکن حال که اینجا کاروانسرا است و قلعه نیست	but since it appears that it is not a castle but an inn
سر هر جسد زیر پای جسد بعدی یا روی آن قرار دارد.	the head of one body lying on or under the feet of the next.
صفات زشت آن زن قادر به ربودن این گنج نیستند.	that her qualifications were ill adapted to win from him that treasure.
در سر راه این ازدواج یک مانع غیر قابل حل هست.	an insuperable impediment to this marriage exists.
رو زا نیز به نوبهٔ خود وقتی که او را دیده بود حرکتی کرده بود تا به سوی او بیاید	when she saw him she had made a movement towards him
اما راه قابل عبور نبود و لشکرهایش در گل فرومانده بودند.	but the roads were impassable, and his divisions stuckfast in the mire.
هر چند در حدی که مربوط به این نقل است رفیق خواب من شد	though but a sleeping partner one, so far as this narrative is concerned
انقباض عضلات خود را باز کرد و خود را به دست اراده بدنش سپرد.	relaxed his muscles, and surrendered to the will of his body.
سپس به زور وی را دوباره روی صندلی نشاند.	he forcibly sat her down in her place.
از کف تا سقف را آستر یا کاغذی از غشاء سفید براقی که مانند ابریشم عرسوان درخشان است پوشانده است.	from floor to ceiling, lined, or rather papered with a glistening white membrane, glossy as bridal satins.
او را بلعید و به اعماق خلیج زنده انهدام فرستاد	swallowed him down to living gulfs of doom
صورتش از شدت ذوق و شوق گل انداخته بود.	her face pink with excitement.
اگر کسی که ثروت و جاه و جلال را از اعماق گرداب پستی و بدبختی خود بیرون آورده است تا به اوج عزت و سعادت برسد	if this person whom fortune has raised from his original lowly state to his present height of prosperity
که نه زمین نابود خواهد شد و نه هیچیک از موجوداتی که در خود دارد.	that neither earth should perish, nor one of the souls it treasured.
بدین سبب است که پهلوانان سرگردان حق ندارند از هیچ زخمی بنالند	because knights errant are not permitted to complain of any wound
که شاید زیباترین کوری است که در سراسر جهان وجود دارد	which is probably the most beautiful thing in all the sphere of music.
هیچ احساسی بجز غرور نسبت به ازدواج دخترش نداشت.	had hardly any feeling but pride in her daughter's marriage.
اگه همین روزها یکی دو نفر از این دارو دسته تو هچل نیفتادن	if something don't go wrong with one or another of that bunch one of these days
پس از ین دو سایر رجال در یک طرازند.	the rest of the great officers are much upon a par.
چنین بود که هورتنس با خودشیفتگی تمام از گریز خود ترسیم کرد.	was the way she narcissistically painted her flight.
اگر نفرت آقای کازوبن از ویل ترحم دور تا را نسبت به او برنینگیخته بود	if he had not already been recommended to her mercy by her husband's dislike
من به او گفتم نیت من نیز این است که در عزلت ابدی به سر برم	I told him that mine was to live in perpetual solitude
این ندا در وی چندان نفوذ کرد که او را حتی از آن ضربهء مهیب به خود آورد.	that it quickly raised her, even from that shock.
آنگاه برخاست و با سرعت خود را به نقطه دیگری رسانید و از آنجا نیز باز دور شد.	starting up to make for some other spot, and do the same, and ramble on again.
دست همدیگر را گرفتند و با نومیدی راه افتادند.	wandered along, hand in hand and hopeless.
سرخی آن چهرهء بسیاری را در آن محله گلگون کند.	when the stain of it would be red upon many there.
بعد مقداری از آن هال را با نمک و کره له کرده و گذاشت سر میز ناهار	mashed some of it salt and butter, for dinner.
او را در انزوا نگاه دارد و به دقت او را بپاید.	to lock her up, watch over her and keep her in seclusion
ولی هم پدر اِما و هم خود اِما از این تقارن کمی ناراحت شدند.	but both father and daughter were disturbed by its happening so.
به زودی همهٔ این چیزهای اسقاط را از خانه بیرون خواهد ریخت.	that he would rid the house of all such gimcrackery.
اما تلاش سختی کرد تا جلوی خود را بگیرد و دست او را بفشارد.	but with an obvious effort to control herself she pressed his hand.
محال است که او مشهور باشد و شما ناشناس بمانید.	you could not celebrate him without being known yourself.
یک بار دیگر پی بر دنبال کنندگانش گم کند.	thus to break his scentonce more.
به علامت تأیید و موافقت سر را حرکت داد.	he wanted to say and nodded approval.
این شهریار در مهمان نوازی نسبت به بیگانگان از اسلاف خود گوی سبقت ربوده بود.	this prince being distinguished above all his predecessors for his hospitality to strangers
به کشتی پکوئود نزدیک شد همه شراعهای پر باد همچون بادکنک ترکیده روی هم ریختند	the boastful sails all fell together as blank bladders that are burst
بعدش از اینکه وعظ را نشنیده بودم تاسف خوردم.	then I was awfully sorry I hadn't listened to the sermon
بدون آن که در وضع بیمار تغییری حاصل شود.	the sick man was still in the same condition.
یکی نیم رخ مردی نجیب زاده و موقر و دیگری نیم رخی کثیف و زخمی.	one nobly whiskered and solemn, the other untidy and scared.
بمانند مردی که جداً تصمیم به انکار دارد پای به زمین کوفت	beating his foot upon the ground, as a man who is determined to deny everything.
باز هم چه برای کره اسب آن چیزها باید جایی موجود باشند.	yet with me, as with the colt, somewhere those things must exist.
قوری را از آب داغ آبگرم کن بالای ظرفشویی پر کرد	filled the teapot from a little hot water geyser over the sink.
پدر مسکین مرا از راه حقد و حسد پاپی شده است.	pursued my father with jealous hatred
سرهنگ آئورلیانو بوئندیا هفت بار دیگر دست به آشوب زد.	he attempted seven other revolts.
من احتیاج به مدرکی محکم برای پزشکی قانونی دارم.	I need concrete evidence for the coroner's inquest.
این یک عنکبوت بسیار سیاه مو دار و مخوف بود.	it was a large, black, hairy, frightful spider.
هرچند که نحوهی انجام این کار را اصلاً نپسندید.	though not able to give him much credit for the manner in which it was announced.
چنان مراقبم بودند که هیچ مادری مراقب دختر عزبش نیست.	they watched me closer than a mother keeps an eye on an untried daughter.
جمعیتی پر سر و صدا و بشاش و پر اداست.	it is a noisy, cheerful, gesticulating crowd.
طول آن از دو قدم و چند گره بیشتر بود.	more than two feet and several inches long.
مطمئن هستم تو می تونی پیشنهادم ون رو به بهترین شکل ممکن بهش بگی.	I trust that you can present the offer in the best possible light.
من پاک اشتهای خود را از دست داده بودم.	I had quite lost my stomach.
مگر اینکه ضربتی از خارج بر اعضاء ناطقه یا سامعه آنان فرود آید	without being roused by some external taction upon the organs of speech and hearing
آن هم وقتی خیلی از پسرهای جوان فامیل حتماً پول شامشان را ندارند.	when so many younger sons can't dine at their own expense
او با اخم و تخم به آن نگاهی کرد.	he looks at it with a frown.
در چنین لحظاتی در مواقعی که زندگی و مرگ انسان به تار مویی بند است آرزو دارند که از احساساتشان درکی روشن و واضح ارائه دهند	when the chances of existence are involved, a desire to leave a correct impression of the feelings,
پیشخدمت از اتاق پذیرایی روبرو با صدای رسا گفت.	the maid said clearly from the reception room opposite.
آن مرد کلاه خود را از سر برداشت و آن را در بالای سر خود تکان داد.	he took his hat off, and waved it round his head.
خودم هم اسبم را سی پوند فروختم و روی آن پول گذاشتم و یک اسب دیگر خریدم.	I paid away thirty with my old horse in order to get another
از رجال دولت و اهل درب خانه دوستان زیاد داشت	, had preserved a great number of friends, and these
که با غرور و بزرگواری عزم جزم کرده بود نقش شخصیت فرومایه یا خیانت کار را در آن بازی نکند.	which she had a proud, nay, a generous resolution not to act the mean or treacherous part.
گناهکاران را کیفر دهند و از بی گناهان حمایت نمایند.	as well as for the punishment of vice and protection of innocence.
در حالی که در حقیقت او نو با سحر و جادو تبدیل به یک ماشین پرنده می کنه.	while really he was enchanting it to make it fly.
اما وقتی سرانجام از آستانه پا به درون گذاشتیم از سر تا پا خیس شده بودیم.	but we were quite wet before we could pass the threshold.
در آنجا دیدم که مردم نردبانهائی بر دیوار ساختمان نهاده بودند	I found they had already applied ladders to the walls of the apartment
یه وقت میاد که دی گه هیچ کس اینجا نیس.	he comes home and they ain't nobody here.
ولی ناگهان تغییر خیلی مهمی به وقوع پیوست و مگ به کلی از آن رو به این رو شد.	but all of a sudden a change seemed to come over her, and, for a day or two, she was quite unlike herself.
که در همه اعضایش و در همه وجودش یک نوع ضعف مریضانه داشت اما در نگاهش قوت بسیار مشهود بود.	who had a sort of sickly feebleness about all his limbs and his whole person, and an immense force in his glance.
جزوه کشی که سر آن را بسته بود بیرون آورد	drew from an inlaid secretary a small portfolio with a lock
عادت کرده بود که حتی بدون علل کافی بخندد	it was her habit to build up laughter out of inadequate materials.
از پایان خوش چنین ماجرای به هم پیچیده و بظاهار مأیوس کننده	at the happy issue of such a complicated and hopeless business.
